,Alto35,Bass35,HarmonicRhythm7,LocalKey38,PitchClassSet121,RomanNumeral31,Soprano35,Tenor35,TonicizedKey38,offset,measure
0,G,C,0,F,"(0, 4, 7)",I,C,E,F,0.0,1.0
1,G,C,1,F,"(0, 4, 7)",V,C,E,C,0.125,1.0
2,G,C,2,F,"(0, 4, 7)",V,C,E,C,0.25,1.0
3,G,C,2,F,"(0, 4, 7)",V,C,E,C,0.375,1.0
4,G,C,3,F,"(0, 4, 7)",V,C,E,C,0.5,1.0
5,G,C,3,F,"(0, 4, 7)",V,C,E,C,0.625,1.0
6,G,C,3,F,"(0, 4, 7)",V,C,E,C,0.75,1.0
7,G,C,3,F,"(0, 4, 7)",V,C,E,C,0.875,1.0
8,G,C,4,F,"(0, 4, 7)",V,C,E,F,1.0,1.0
9,G,C,4,F,"(0, 4, 7)",V,C,E,F,1.125,1.0
10,G,C,4,F,"(0, 4, 7)",V,C,E,F,1.25,1.0
11,G,C,4,F,"(0, 4, 7)",V,C,E,F,1.375,1.0
12,G,C,4,F,"(0, 4, 7)",V,C,E,F,1.5,1.0
13,G,C,4,F,"(0, 4, 7)",V,C,E,F,1.625,1.0
14,G,C,4,F,"(0, 4, 7)",V,C,E,F,1.75,1.0
15,G,C,4,F,"(0, 4, 7)",V,C,E,F,1.875,1.0
16,G,C,5,F,"(0, 4, 7)",V,C,E,F,2.0,1.0
17,G,C,5,F,"(0, 4, 7)",V,C,E,F,2.125,1.0
18,G,C,5,F,"(0, 4, 7)",V,C,E,F,2.25,1.0
19,G,C,5,F,"(0, 4, 7)",V,C,E,F,2.375,1.0
20,G,C,5,F,"(0, 4, 7)",V,C,E,F,2.5,1.0
21,G,C,5,F,"(0, 4, 7)",V,C,E,F,2.625,1.0
22,G,C,5,F,"(0, 4, 7)",V,C,E,F,2.75,1.0
23,G,C,5,F,"(0, 4, 7)",V,C,E,F,2.875,1.0
24,G,C,5,F,"(0, 4, 7)",V,C,E,C,3.0,1.0
25,G,C,5,F,"(0, 4, 7)",V,C,E,C,3.125,1.0
26,G,C,5,F,"(0, 4, 7)",V,C,E,C,3.25,1.0
27,G,C,5,F,"(0, 4, 7)",V,C,E,C,3.375,1.0
28,G,C,5,F,"(0, 4, 7)",V,C,E,C,3.5,1.0
29,G,C,5,F,"(0, 4, 7)",V,C,E,C,3.625,1.0
30,G,C,5,F,"(0, 4, 7)",V,C,E,C,3.75,1.0
31,G,C,5,F,"(0, 4, 7)",V,C,E,C,3.875,1.0
32,C,F,0,F,"(0, 4, 7)",I,C,A,F,4.0,2.0
33,C,F,1,F,"(0, 4, 7)",I,C,A,F,4.125,2.0
34,C,F,2,F,"(0, 4, 7)",I,C,A,C,4.25,2.0
35,C,F,2,F,"(0, 4, 7)",I,C,A,C,4.375,2.0
36,C,F,3,F,"(0, 4, 7)",I,C,A,F,4.5,2.0
37,C,F,3,F,"(0, 4, 7)",I,C,A,F,4.625,2.0
38,C,F,3,F,"(0, 4, 7)",I,C,A,F,4.75,2.0
39,C,F,3,F,"(0, 4, 7)",I,C,A,F,4.875,2.0
40,C,F,4,F,"(0, 4, 7)",vi,C,G,F,5.0,2.0
41,C,F,4,F,"(0, 4, 7)",vi,C,G,F,5.125,2.0
42,C,F,4,F,"(0, 4, 7)",vi,C,G,F,5.25,2.0
43,C,F,4,F,"(0, 4, 7)",vi,C,G,F,5.375,2.0
44,C,F,4,F,"(0, 4, 7)",vi,C,A,F,5.5,2.0
45,C,F,4,F,"(0, 4, 7)",vi,C,A,F,5.625,2.0
46,C,F,4,F,"(0, 4, 7)",vi,C,A,F,5.75,2.0
47,C,F,4,F,"(0, 4, 7)",vi,C,A,F,5.875,2.0
48,C,F,0,F,"(2, 5, 9)",vi,D,A,F,6.0,2.0
49,C,F,1,F,"(2, 5, 9)",vi,D,A,F,6.125,2.0
50,C,F,2,F,"(2, 5, 9)",vi,D,A,F,6.25,2.0
51,C,F,2,F,"(2, 5, 9)",vi,D,A,F,6.375,2.0
52,A,F,3,F,"(2, 5, 9)",vi,D,A,F,6.5,2.0
53,A,F,3,F,"(2, 5, 9)",vi,D,A,F,6.625,2.0
54,A,F,3,F,"(2, 5, 9)",vi,D,A,F,6.75,2.0
55,A,F,3,F,"(2, 5, 9)",vi,D,A,F,6.875,2.0
56,A,D,4,F,"(2, 5, 9)",ii,D,F,C,7.0,2.0
57,A,D,4,F,"(2, 5, 9)",ii,D,F,C,7.125,2.0
58,A,D,4,F,"(2, 5, 9)",ii,D,F,C,7.25,2.0
59,A,D,4,F,"(2, 5, 9)",ii,D,F,C,7.375,2.0
60,A,D,3,F,"(2, 5, 9)",ii,D,F,C,7.5,2.0
61,A,D,3,F,"(2, 5, 9)",ii,D,F,C,7.625,2.0
62,A,D,3,F,"(2, 5, 9)",ii,D,F,C,7.75,2.0
63,A,D,3,F,"(2, 5, 9)",ii,D,F,C,7.875,2.0
64,G,C,0,F,"(0, 4, 7)",V,C,E,F,8.0,3.0
65,G,C,1,F,"(0, 4, 7)",V,C,E,F,8.125,3.0
66,G,C,2,F,"(0, 4, 7)",V,C,E,F,8.25,3.0
67,G,C,2,F,"(0, 4, 7)",V,C,E,F,8.375,3.0
68,G,C,3,F,"(0, 4, 7)",V,C,E,F,8.5,3.0
69,G,C,3,F,"(0, 4, 7)",V,C,E,F,8.625,3.0
70,G,C,3,F,"(0, 4, 7)",V,C,E,F,8.75,3.0
71,G,C,3,F,"(0, 4, 7)",V,C,E,F,8.875,3.0
72,G,C,4,F,"(0, 4, 7)",V,C,E,F,9.0,3.0
73,G,C,4,F,"(0, 4, 7)",V,C,E,F,9.125,3.0
74,G,C,4,F,"(0, 4, 7)",V,C,E,F,9.25,3.0
75,G,C,4,F,"(0, 4, 7)",V,C,E,F,9.375,3.0
76,G,C,4,F,"(0, 4, 7)",V,C,E,F,9.5,3.0
77,G,C,4,F,"(0, 4, 7)",V,C,E,F,9.625,3.0
78,G,C,4,F,"(0, 4, 7)",V,C,E,F,9.75,3.0
79,G,C,4,F,"(0, 4, 7)",V,C,E,F,9.875,3.0
80,G,C,5,F,"(0, 4, 7)",V,C,E,F,10.0,3.0
81,G,C,5,F,"(0, 4, 7)",V,C,E,F,10.125,3.0
82,G,C,5,F,"(0, 4, 7)",V,C,E,F,10.25,3.0
83,G,C,5,F,"(0, 4, 7)",V,C,E,F,10.375,3.0
84,G,C,5,F,"(0, 4, 7)",V,C,E,F,10.5,3.0
85,G,C,5,F,"(0, 4, 7)",V,C,E,F,10.625,3.0
