,Alto35,Bass35,HarmonicRhythm7,LocalKey38,PitchClassSet121,RomanNumeral31,Soprano35,Tenor35,TonicizedKey38,offset,measure
0,G,C,0,c,"(0, 3, 7)",i,C,E-,c,0.0,1.0
1,G,C,1,c,"(0, 3, 7)",i,C,E-,c,0.125,1.0
2,G,C,2,c,"(0, 3, 7)",i,C,E-,c,0.25,1.0
3,G,C,2,c,"(0, 3, 7)",i,C,E-,c,0.375,1.0
4,G,C,3,c,"(0, 3, 7)",i,C,E-,c,0.5,1.0
5,G,C,3,c,"(0, 3, 7)",i,C,E-,c,0.625,1.0
6,G,C,3,c,"(0, 3, 7)",i,C,E-,c,0.75,1.0
7,G,C,3,c,"(0, 3, 7)",i,C,E-,c,0.875,1.0
8,C,F,0,c,"(0, 3, 5, 8)",iv7,E-,A-,c,1.0,1.0
9,C,F,1,c,"(0, 3, 5, 8)",iv7,E-,A-,c,1.125,1.0
10,C,F,2,c,"(0, 3, 5, 8)",iv7,E-,A-,c,1.25,1.0
11,C,F,2,c,"(0, 3, 5, 8)",iv7,E-,A-,c,1.375,1.0
12,C,F,3,c,"(0, 3, 5, 8)",iv7,E-,A-,c,1.5,1.0
13,C,F,3,c,"(0, 3, 5, 8)",iv7,E-,A-,c,1.625,1.0
14,C,F,3,c,"(0, 3, 5, 8)",iv7,E-,A-,c,1.75,1.0
15,C,F,3,c,"(0, 3, 5, 8)",iv7,E-,A-,c,1.875,1.0
16,E-,G,0,c,"(2, 7, 11)",V,G,B,c,2.0,1.0
17,E-,G,1,c,"(3, 7, 11)",III+,F,B,c,2.125,1.0
18,E-,G,2,c,"(3, 7, 11)",III+,F,B,c,2.25,1.0
19,E-,G,2,c,"(3, 7, 11)",III+,F,B,c,2.375,1.0
20,E-,G,3,c,"(3, 7, 11)",III+,F,B,c,2.5,1.0
21,E-,G,3,c,"(3, 7, 11)",V,F,B,c,2.625,1.0
22,D,G,3,c,"(2, 5, 7, 11)",V7,F,B,c,2.75,1.0
23,D,G,3,c,"(2, 5, 7, 11)",V7,F,B,c,2.875,1.0
24,G,C,0,c,"(0, 3, 7)",i,C,E-,c,3.0,1.0
25,G,C,1,c,"(0, 3, 7)",i,C,E-,c,3.125,1.0
26,G,C,2,c,"(0, 3, 7)",i,C,E-,c,3.25,1.0
27,G,C,2,c,"(0, 3, 7)",i,C,E-,c,3.375,1.0
28,G,C,3,c,"(0, 3, 7)",i,C,E-,c,3.5,1.0
29,G,C,3,c,"(0, 3, 7)",i,C,E-,c,3.625,1.0
30,G,C,3,c,"(0, 3, 7)",i,C,E-,c,3.75,1.0
31,G,C,3,c,"(0, 3, 7)",i,C,E-,c,3.875,1.0
32,E-,A-,0,c,"(0, 3, 8)",VI,A-,C,c,4.0,2.0
33,E-,A-,1,c,"(0, 3, 8)",VI,A-,C,c,4.125,2.0
34,E-,A-,2,c,"(0, 3, 8)",VI,A-,C,c,4.25,2.0
35,E-,A-,2,c,"(0, 3, 8)",VI,A-,C,c,4.375,2.0
36,E-,A-,3,c,"(0, 3, 8)",VI,A-,C,c,4.5,2.0
37,E-,A-,3,c,"(0, 3, 8)",VI,A-,C,c,4.625,2.0
38,E-,A-,3,c,"(0, 3, 8)",VI,A-,C,c,4.75,2.0
39,E-,A-,3,c,"(0, 3, 8)",VI,A-,C,c,4.875,2.0
40,A-,D-,0,c,"(1, 5, 8)",N,D-,F,c,5.0,2.0
41,A-,D-,1,c,"(1, 5, 8)",IV,D-,F,c,5.125,2.0
42,A-,D-,2,c,"(1, 5, 8)",IV,D-,F,c,5.25,2.0
43,A-,D-,2,c,"(1, 5, 8)",IV,D-,F,c,5.375,2.0
44,A-,D-,3,c,"(1, 5, 8)",IV,D-,F,c,5.5,2.0
45,A-,D-,3,c,"(1, 5, 8)",IV,D-,F,c,5.625,2.0
46,A-,D-,3,c,"(1, 5, 8)",IV,D-,F,c,5.75,2.0
47,A-,D-,3,c,"(1, 5, 8)",IV,D-,F,c,5.875,2.0
48,B-,E-,0,c,"(1, 3, 7, 10)",V7,C,G,c,6.0,2.0
49,B-,E-,1,c,"(1, 3, 7, 10)",V7,D-,G,A-,6.125,2.0
50,B-,E-,2,c,"(1, 3, 7, 10)",V7,D-,G,c,6.25,2.0
51,B-,E-,2,c,"(1, 3, 7, 10)",V7,D-,G,c,6.375,2.0
52,B-,E-,3,c,"(1, 3, 7, 10)",V7,D-,G,A-,6.5,2.0
53,B-,E-,3,c,"(1, 3, 7, 10)",V7,D-,G,A-,6.625,2.0
54,B-,E-,3,c,"(1, 3, 7, 10)",V7,D-,G,A-,6.75,2.0
55,B-,E-,3,c,"(1, 3, 7, 10)",V7,D-,G,A-,6.875,2.0
