,Alto35,Bass35,HarmonicRhythm7,LocalKey38,PitchClassSet121,RomanNumeral31,Soprano35,Tenor35,TonicizedKey38,offset,measure
0,B,E,0,E,"(4, 8, 11)",I,E,G#,E,0.0,1.0
1,B,E,1,E,"(4, 8, 11)",I,E,G#,E,0.125,1.0
2,B,E,2,E,"(4, 8, 11)",I,E,G#,E,0.25,1.0
3,B,E,2,E,"(4, 8, 11)",I,E,G#,E,0.375,1.0
4,B,E,3,E,"(4, 8, 11)",I,E,G#,E,0.5,1.0
5,B,E,3,E,"(4, 8, 11)",I,E,G#,E,0.625,1.0
6,B,E,3,E,"(4, 8, 11)",I,E,G#,E,0.75,1.0
7,B,E,3,E,"(4, 8, 11)",I,E,G#,E,0.875,1.0
8,B,E,4,E,"(4, 8, 11)",I,E,G#,E,1.0,1.0
9,B,E,4,E,"(4, 8, 11)",I,E,G#,E,1.125,1.0
10,B,E,4,E,"(4, 8, 11)",I,E,G#,E,1.25,1.0
11,B,E,4,E,"(4, 8, 11)",I,E,G#,E,1.375,1.0
12,B,E,4,E,"(4, 8, 11)",I,E,G#,E,1.5,1.0
13,B,E,4,E,"(4, 8, 11)",I,E,G#,E,1.625,1.0
14,B,E,4,E,"(4, 8, 11)",I,E,G#,E,1.75,1.0
15,B,E,4,E,"(4, 8, 11)",I,E,G#,E,1.875,1.0
16,B,E,5,E,"(4, 8, 11)",I,E,G#,E,2.0,1.0
17,B,E,5,E,"(4, 8, 11)",I,E,G#,E,2.125,1.0
18,B,E,5,E,"(4, 8, 11)",I,E,G#,E,2.25,1.0
19,B,E,5,E,"(4, 8, 11)",I,E,G#,E,2.375,1.0
20,B,E,5,E,"(4, 8, 11)",I,E,G#,E,2.5,1.0
21,B,E,5,E,"(4, 8, 11)",I,E,G#,E,2.625,1.0
22,B,E,5,E,"(4, 8, 11)",I,E,G#,E,2.75,1.0
23,B,E,5,E,"(4, 8, 11)",I,E,G#,E,2.875,1.0
24,B,E,5,E,"(4, 8, 11)",I,E,G#,E,3.0,1.0
25,B,E,5,E,"(4, 8, 11)",I,E,B,E,3.125,1.0
26,B,E,5,E,"(4, 8, 11)",I,E,B,E,3.25,1.0
27,B,E,5,E,"(4, 8, 11)",I,E,B,E,3.375,1.0
28,B,E,5,E,"(4, 8, 11)",I,E,B,E,3.5,1.0
29,B,E,5,E,"(4, 8, 11)",I,E,B,E,3.625,1.0
30,B,E,5,E,"(4, 8, 11)",I,E,B,E,3.75,1.0
31,B,E,5,E,"(4, 8, 11)",I,E,B,E,3.875,1.0
32,B,E,6,E,"(4, 8, 11)",I,E,G#,E,4.0,1.0
33,B,E,6,E,"(4, 8, 11)",I,E,G#,E,4.125,1.0
34,B,E,6,E,"(4, 8, 11)",I,E,G#,E,4.25,1.0
35,B,E,6,E,"(4, 8, 11)",I,E,G#,E,4.375,1.0
36,B,E,6,E,"(4, 8, 11)",I,E,G#,E,4.5,1.0
37,B,E,6,E,"(4, 8, 11)",I,E,G#,E,4.625,1.0
38,B,E,6,E,"(4, 8, 11)",I,E,G#,E,4.75,1.0
39,B,E,6,E,"(4, 8, 11)",I,E,G#,E,4.875,1.0
40,B,E,6,E,"(4, 8, 11)",I,E,G#,E,5.0,1.0
41,B,E,6,E,"(4, 8, 11)",I,E,G#,E,5.125,1.0
42,B,E,6,E,"(4, 8, 11)",I,E,G#,E,5.25,1.0
43,B,E,6,E,"(4, 8, 11)",I,E,G#,E,5.375,1.0
44,B,E,6,E,"(4, 8, 11)",I,E,G#,E,5.5,1.0
45,B,E,6,E,"(4, 8, 11)",I,E,G#,E,5.625,1.0
46,B,E,6,E,"(4, 8, 11)",I,E,G#,E,5.75,1.0
47,B,E,6,E,"(4, 8, 11)",I,E,G#,E,5.875,1.0
48,B,E,0,E,"(4, 8, 11)",I,E,G#,E,6.0,2.0
49,B,E,1,E,"(4, 8, 11)",I,E,G#,E,6.125,2.0
50,B,E,2,E,"(4, 8, 11)",I,E,G#,E,6.25,2.0
51,B,E,2,E,"(4, 8, 11)",I,E,G#,E,6.375,2.0
52,B,E,3,E,"(4, 8, 11)",I,E,G#,E,6.5,2.0
53,B,E,3,E,"(4, 8, 11)",I,E,G#,E,6.625,2.0
54,B,E,3,E,"(4, 8, 11)",I,E,G#,E,6.75,2.0
55,B,E,3,E,"(4, 8, 11)",I,E,G#,E,6.875,2.0
56,B,E,4,E,"(4, 8, 11)",I,E,G#,E,7.0,2.0
57,B,E,4,E,"(4, 8, 11)",I,E,G#,E,7.125,2.0
58,B,E,4,E,"(4, 8, 11)",I,E,G#,E,7.25,2.0
59,B,E,4,E,"(4, 8, 11)",I,E,G#,E,7.375,2.0
60,B,E,4,E,"(4, 8, 11)",I,E,G#,E,7.5,2.0
61,B,E,4,E,"(4, 8, 11)",I,E,G#,E,7.625,2.0
62,B,E,4,E,"(4, 8, 11)",I,E,G#,E,7.75,2.0
63,B,E,4,E,"(4, 8, 11)",I,E,G#,E,7.875,2.0
64,B,E,5,E,"(4, 8, 11)",I,E,G#,E,8.0,2.0
65,B,E,5,E,"(4, 8, 11)",I,E,G#,E,8.125,2.0
66,B,E,5,E,"(4, 8, 11)",I,E,G#,E,8.25,2.0
67,B,E,5,E,"(4, 8, 11)",I,E,G#,E,8.375,2.0
68,B,E,5,E,"(4, 8, 11)",I,E,G#,E,8.5,2.0
69,B,E,5,E,"(4, 8, 11)",I,E,G#,E,8.625,2.0
70,B,E,5,E,"(4, 8, 11)",I,E,G#,E,8.75,2.0
71,B,E,5,E,"(4, 8, 11)",I,E,G#,E,8.875,2.0
72,E,E,5,E,"(1, 4, 8)",vi,C#,G#,E,9.0,2.0
73,E,E,5,E,"(1, 4, 8)",vi,C#,G#,E,9.125,2.0
74,E,E,5,E,"(1, 4, 8)",vi,C#,G#,E,9.25,2.0
75,E,E,5,E,"(1, 4, 8)",vi,C#,G#,E,9.375,2.0
76,E,E,5,E,"(1, 4, 8)",vi,C#,G#,E,9.5,2.0
77,E,E,5,E,"(1, 4, 8)",vi,C#,G#,E,9.625,2.0
78,E,E,5,E,"(1, 4, 8)",vi,C#,G#,E,9.75,2.0
79,E,E,5,E,"(1, 4, 8)",vi,C#,G#,E,9.875,2.0
80,E,E,5,E,"(1, 4, 8)",vi,C#,G#,E,10.0,2.0
81,E,E,5,E,"(1, 4, 8)",vi,C#,G#,E,10.125,2.0
82,E,E,5,E,"(1, 4, 8)",vi,C#,G#,E,10.25,2.0
83,E,E,5,E,"(1, 4, 8)",vi,C#,G#,E,10.375,2.0
84,E,E,5,E,"(1, 4, 8)",vi,C#,G#,E,10.5,2.0
85,E,E,5,E,"(1, 4, 8)",vi,C#,G#,E,10.625,2.0
86,E,E,5,E,"(1, 4, 8)",vi,C#,G#,E,10.75,2.0
87,E,E,5,E,"(1, 4, 8)",vi,C#,G#,E,10.875,2.0
88,E,E,5,E,"(1, 4, 8)",vi,C#,G#,E,11.0,2.0
89,E,E,5,E,"(1, 4, 8)",vi,C#,G#,E,11.125,2.0
90,E,E,5,E,"(1, 4, 8)",vi,C#,G#,E,11.25,2.0
91,E,E,5,E,"(1, 4, 8)",vi,C#,G#,E,11.375,2.0
92,E,E,5,E,"(1, 4, 8)",vi,C#,G#,E,11.5,2.0
93,E,E,5,E,"(1, 4, 8)",vi,C#,G#,E,11.625,2.0
94,E,E,5,E,"(1, 4, 8)",vi,C#,G#,E,11.75,2.0
95,E,E,5,E,"(1, 4, 8)",vi,C#,G#,E,11.875,2.0
96,C#,F#,0,E,"(1, 6, 9)",ii,F#,A,E,12.0,3.0
97,C#,F#,1,E,"(1, 6, 9)",ii,F#,A,E,12.125,3.0
98,C#,F#,2,E,"(1, 6, 9)",ii,F#,A,E,12.25,3.0
99,C#,F#,2,E,"(1, 6, 9)",ii,F#,A,E,12.375,3.0
100,C#,F#,3,E,"(1, 6, 9)",ii,F#,A,E,12.5,3.0
101,C#,F#,3,E,"(1, 6, 9)",ii,F#,A,E,12.625,3.0
102,C#,F#,3,E,"(1, 6, 9)",ii,F#,A,E,12.75,3.0
103,C#,F#,3,E,"(1, 6, 9)",ii,F#,A,E,12.875,3.0
104,C#,F#,4,E,"(1, 6, 9)",ii,F#,A,E,13.0,3.0
105,C#,F#,4,E,"(1, 6, 9)",ii7,F#,A,E,13.125,3.0
106,C#,F#,4,E,"(1, 6, 9)",ii7,F#,A,E,13.25,3.0
107,C#,F#,4,E,"(1, 6, 9)",ii7,F#,A,E,13.375,3.0
108,C#,F#,4,E,"(1, 6, 9)",ii7,F#,A,E,13.5,3.0
109,C#,F#,4,E,"(1, 6, 9)",ii7,F#,A,E,13.625,3.0
110,C#,F#,4,E,"(1, 6, 9)",ii7,F#,A,E,13.75,3.0
111,C#,F#,4,E,"(1, 6, 9)",ii7,F#,A,E,13.875,3.0
112,C#,F#,5,E,"(1, 6, 9)",ii,F#,A,E,14.0,3.0
113,C#,F#,5,E,"(1, 6, 9)",ii,F#,A,E,14.125,3.0
114,C#,F#,5,E,"(1, 6, 9)",ii,F#,A,E,14.25,3.0
115,C#,F#,5,E,"(1, 6, 9)",ii,F#,A,E,14.375,3.0
116,C#,F#,5,E,"(1, 6, 9)",ii,F#,A,E,14.5,3.0
117,C#,F#,5,E,"(1, 6, 9)",ii,F#,A,E,14.625,3.0
118,C#,F#,5,E,"(1, 6, 9)",ii,F#,A,E,14.75,3.0
119,C#,F#,5,E,"(1, 6, 9)",ii,F#,A,E,14.875,3.0
120,C#,F#,5,E,"(1, 6, 9)",ii,F#,A,E,15.0,3.0
121,C#,F#,5,E,"(1, 6, 9)",ii,F#,A,E,15.125,3.0
122,C#,F#,5,E,"(1, 6, 9)",ii,F#,A,E,15.25,3.0
123,C#,F#,5,E,"(1, 6, 9)",ii,F#,A,E,15.375,3.0
124,C#,F#,3,E,"(1, 6, 9)",ii,F#,A,E,15.5,3.0
125,C#,F#,3,E,"(1, 6, 9)",ii,F#,A,E,15.625,3.0
126,C#,F#,3,E,"(1, 6, 9)",ii,F#,A,E,15.75,3.0
127,C#,F#,3,E,"(1, 6, 9)",ii,F#,A,E,15.875,3.0
128,C#,F#,4,E,"(1, 6, 9)",ii,F#,A,E,16.0,3.0
129,C#,F#,4,E,"(1, 6, 9)",ii,F#,A,E,16.125,3.0
130,C#,F#,4,E,"(1, 6, 9)",ii,F#,A,E,16.25,3.0
131,C#,F#,4,E,"(1, 6, 9)",ii,F#,A,E,16.375,3.0
132,B,G#,0,E,"(5, 8, 11)",viio,E#,B,f#,16.5,3.0
133,B,G#,1,E,"(5, 8, 11)",viio,E#,B,f#,16.625,3.0
134,B,G#,2,E,"(5, 8, 11)",viio,E#,B,f#,16.75,3.0
135,B,G#,2,E,"(5, 8, 11)",viio,E#,B,f#,16.875,3.0
136,B,G#,3,E,"(5, 8, 11)",viio,E#,B,f#,17.0,3.0
137,B,G#,3,E,"(5, 8, 11)",viio,E#,B,f#,17.125,3.0
138,B,G#,3,E,"(5, 8, 11)",viio,E#,B,f#,17.25,3.0
139,B,G#,3,E,"(5, 8, 11)",viio,E#,B,f#,17.375,3.0
140,B,G#,4,E,"(5, 8, 11)",viio,E#,B,f#,17.5,3.0
141,B,G#,4,E,"(5, 8, 11)",viio,E#,B,f#,17.625,3.0
142,B,G#,4,E,"(5, 8, 11)",viio,E#,B,f#,17.75,3.0
143,B,G#,4,E,"(5, 8, 11)",viio,E#,B,f#,17.875,3.0
144,F#,A,0,E,"(1, 6, 9)",ii,F#,C#,E,18.0,4.0
145,F#,A,1,E,"(1, 6, 9)",ii,F#,C#,E,18.125,4.0
146,F#,A,2,E,"(1, 6, 9)",ii,F#,C#,E,18.25,4.0
147,F#,A,2,E,"(1, 6, 9)",ii,F#,C#,E,18.375,4.0
148,F#,A,3,E,"(1, 6, 9)",iv,F#,C#,E,18.5,4.0
149,F#,A,3,E,"(1, 6, 9)",iv,F#,C#,E,18.625,4.0
150,F#,A,3,E,"(1, 6, 9)",iv,F#,C#,E,18.75,4.0
151,F#,A,3,E,"(1, 6, 9)",iv,F#,C#,E,18.875,4.0
152,F#,A,4,E,"(1, 6, 9)",iv,F#,C#,E,19.0,4.0
153,F#,A,4,E,"(1, 6, 9)",iv,F#,C#,E,19.125,4.0
154,F#,A,4,E,"(1, 6, 9)",iv,F#,C#,E,19.25,4.0
155,F#,A,4,E,"(1, 6, 9)",iv,F#,C#,E,19.375,4.0
156,F#,A,4,E,"(1, 6, 9)",iv,F#,C#,E,19.5,4.0
157,F#,A,4,E,"(1, 6, 9)",iv,F#,C#,E,19.625,4.0
158,F#,A,4,E,"(1, 6, 9)",iv,F#,C#,E,19.75,4.0
159,F#,A,4,E,"(1, 6, 9)",iv,F#,C#,E,19.875,4.0
160,F#,A,5,E,"(1, 6, 9)",iv,F#,C#,E,20.0,4.0
161,F#,A,5,E,"(1, 6, 9)",iv,F#,C#,E,20.125,4.0
162,F#,A,5,E,"(1, 6, 9)",iv,F#,C#,E,20.25,4.0
163,F#,A,5,E,"(1, 6, 9)",iv,F#,C#,E,20.375,4.0
164,F#,A,5,E,"(1, 6, 9)",iv,F#,C#,E,20.5,4.0
165,F#,A,5,E,"(1, 6, 9)",iv,F#,C#,E,20.625,4.0
166,F#,A,5,E,"(1, 6, 9)",iv,F#,C#,E,20.75,4.0
167,F#,A,5,E,"(1, 6, 9)",iv,F#,C#,E,20.875,4.0
168,F#,A,5,E,"(1, 6, 9)",iv,F#,C#,E,21.0,4.0
169,F#,A,5,E,"(1, 6, 9)",iv,F#,C#,E,21.125,4.0
170,F#,A,5,E,"(1, 6, 9)",iv,F#,C#,E,21.25,4.0
171,F#,A,5,E,"(1, 6, 9)",iv,F#,C#,E,21.375,4.0
172,F#,A,5,E,"(1, 6, 9)",iv,F#,C#,E,21.5,4.0
173,F#,A,5,E,"(1, 6, 9)",iv,F#,C#,E,21.625,4.0
174,F#,A,5,E,"(1, 6, 9)",iv,F#,C#,E,21.75,4.0
175,F#,A,5,E,"(1, 6, 9)",iv,F#,C#,E,21.875,4.0
176,F#,A,5,E,"(1, 6, 9)",iv,F#,C#,E,22.0,4.0
177,F#,A,5,E,"(1, 6, 9)",iv,F#,C#,E,22.125,4.0
178,F#,A,5,E,"(1, 6, 9)",iv,F#,C#,E,22.25,4.0
179,F#,A,6,E,"(1, 6, 9)",iv,F#,C#,E,22.375,4.0
180,F#,A,6,E,"(1, 6, 9)",iv,F#,C#,E,22.5,4.0
181,F#,A,6,E,"(1, 6, 9)",iv,F#,C#,E,22.625,4.0
182,F#,A,6,E,"(1, 6, 9)",iv,F#,C#,E,22.75,4.0
183,F#,A,6,E,"(1, 6, 9)",iv,F#,C#,E,22.875,4.0
184,E,A,6,E,"(1, 6, 9)",iv,F#,C#,E,23.0,4.0
185,E,A,6,E,"(1, 6, 9)",iv,F#,C#,E,23.125,4.0
186,E,A,6,E,"(1, 6, 9)",iv,F#,C#,E,23.25,4.0
187,E,A,6,E,"(1, 6, 9)",iv,F#,C#,E,23.375,4.0
188,E,A,6,E,"(1, 6, 9)",iv,F#,C#,E,23.5,4.0
189,E,A,6,E,"(1, 6, 9)",iv,F#,C#,E,23.625,4.0
190,E,A,6,E,"(1, 6, 9)",iv,F#,C#,E,23.75,4.0
191,E,A,6,E,"(1, 6, 9)",iv,F#,C#,E,23.875,4.0
192,D#,G#,0,E,"(0, 3, 8)",V,G#,B#,c#,24.0,5.0
193,D#,G#,1,E,"(0, 3, 8)",V,G#,B#,c#,24.125,5.0
194,D#,G#,2,E,"(0, 3, 8)",V,G#,B#,c#,24.25,5.0
195,D#,G#,2,E,"(0, 3, 8)",V,G#,B#,c#,24.375,5.0
196,D#,G#,3,c#,"(0, 3, 8)",V,G#,B#,c#,24.5,5.0
197,D#,G#,3,c#,"(0, 3, 8)",V,G#,B#,c#,24.625,5.0
198,D#,G#,3,c#,"(0, 3, 8)",V,G#,B#,c#,24.75,5.0
199,D#,G#,3,c#,"(0, 3, 8)",V,G#,B#,c#,24.875,5.0
200,D#,G#,4,c#,"(0, 3, 8)",V,G#,B#,c#,25.0,5.0
201,D#,G#,4,c#,"(0, 3, 8)",V,G#,B#,c#,25.125,5.0
202,D#,G#,4,c#,"(0, 3, 8)",V,G#,B#,c#,25.25,5.0
203,D#,G#,4,c#,"(0, 3, 8)",V,G#,B#,c#,25.375,5.0
204,D#,G#,4,c#,"(0, 3, 8)",V,G#,B#,c#,25.5,5.0
205,D#,G#,4,c#,"(0, 3, 8)",V,G#,B#,c#,25.625,5.0
206,D#,G#,4,c#,"(0, 3, 8)",V,G#,B#,c#,25.75,5.0
207,D#,G#,4,c#,"(0, 3, 8)",V,G#,B#,c#,25.875,5.0
208,D#,G#,5,E,"(0, 3, 8)",V,G#,B#,c#,26.0,5.0
209,D#,G#,5,E,"(0, 3, 8)",V,G#,B#,c#,26.125,5.0
210,D#,G#,5,E,"(0, 3, 8)",V,G#,B#,c#,26.25,5.0
211,D#,G#,5,E,"(0, 3, 8)",V,G#,B#,c#,26.375,5.0
212,D#,G#,5,E,"(0, 3, 8)",V,G#,B#,c#,26.5,5.0
213,D#,G#,5,E,"(0, 3, 8)",V,G#,B#,c#,26.625,5.0
214,D#,G#,5,E,"(0, 3, 8)",V,G#,B#,c#,26.75,5.0
215,D#,G#,5,E,"(0, 3, 8)",V,G#,B#,c#,26.875,5.0
216,D#,G#,5,E,"(0, 3, 8)",V,G#,B#,c#,27.0,5.0
217,D#,G#,5,E,"(0, 3, 8)",V,G#,B#,c#,27.125,5.0
218,D#,G#,5,E,"(0, 3, 8)",V,G#,B#,c#,27.25,5.0
219,D#,G#,5,E,"(0, 3, 8)",V,G#,B#,c#,27.375,5.0
220,D#,G#,5,E,"(0, 3, 8)",V,G#,B#,c#,27.5,5.0
221,D#,G#,5,E,"(0, 3, 8)",V,G#,B#,c#,27.625,5.0
222,D#,G#,5,E,"(0, 3, 8)",V,G#,B#,c#,27.75,5.0
223,D#,G#,5,E,"(0, 3, 8)",V,G#,B#,c#,27.875,5.0
224,D#,G#,4,E,"(0, 3, 8)",V,G#,B#,c#,28.0,5.0
225,D#,G#,4,E,"(0, 3, 8)",V,G#,B#,c#,28.125,5.0
226,D#,G#,6,E,"(0, 3, 8)",V,G#,B#,c#,28.25,5.0
227,D#,G#,6,E,"(0, 3, 8)",V,G#,B#,c#,28.375,5.0
228,D#,G#,4,E,"(0, 3, 8)",V,G#,B#,c#,28.5,5.0
229,D#,G#,4,E,"(0, 3, 6, 8)",V,G#,B#,c#,28.625,5.0
230,D#,G#,6,E,"(0, 3, 6, 8)",V,G#,B#,c#,28.75,5.0
231,D#,G#,6,E,"(0, 3, 6, 8)",V,G#,B#,c#,28.875,5.0
232,D#,G#,6,E,"(0, 3, 6, 8)",V7,G#,B#,c#,29.0,5.0
233,D#,G#,6,E,"(0, 3, 6, 8)",V7,G#,B#,c#,29.125,5.0
234,D#,G#,6,E,"(0, 3, 6, 8)",V7,G#,B#,c#,29.25,5.0
235,D#,G#,6,E,"(0, 3, 6, 8)",V7,G#,B#,c#,29.375,5.0
236,D#,G#,6,E,"(0, 3, 6, 8)",V7,G#,B#,c#,29.5,5.0
237,D#,G#,6,E,"(0, 3, 6, 8)",V7,G#,B#,c#,29.625,5.0
238,D#,G#,6,E,"(0, 3, 6, 8)",V7,G#,B#,c#,29.75,5.0
239,D#,G#,6,E,"(0, 3, 6, 8)",V7,G#,B#,c#,29.875,5.0
240,G#,C#,0,E,"(1, 4, 8)",i,C#,E,c#,30.0,6.0
241,G#,C#,1,E,"(1, 4, 8)",i,C#,E,c#,30.125,6.0
242,G#,C#,2,E,"(1, 4, 8)",i,C#,E,c#,30.25,6.0
243,G#,C#,2,E,"(1, 4, 8)",i,C#,E,c#,30.375,6.0
244,G#,C#,3,E,"(1, 4, 8)",i,C#,E,c#,30.5,6.0
245,G#,C#,3,E,"(1, 4, 8)",i,C#,E,c#,30.625,6.0
246,G#,C#,3,E,"(1, 4, 8)",i,C#,E,c#,30.75,6.0
247,G#,C#,3,E,"(1, 4, 8)",i,C#,E,c#,30.875,6.0
248,G#,C#,4,E,"(1, 4, 8)",i,C#,E,c#,31.0,6.0
249,G#,C#,4,E,"(1, 4, 8)",i,C#,E,c#,31.125,6.0
250,G#,C#,4,E,"(1, 4, 8)",i,C#,E,c#,31.25,6.0
251,G#,C#,4,E,"(1, 4, 8)",i,C#,E,c#,31.375,6.0
252,G#,C#,4,E,"(1, 4, 8)",i,C#,E,c#,31.5,6.0
253,G#,C#,4,E,"(1, 4, 8)",i,C#,E,c#,31.625,6.0
254,G#,C#,4,E,"(1, 4, 8)",i,C#,E,c#,31.75,6.0
255,G#,C#,4,E,"(1, 4, 8)",i,C#,E,c#,31.875,6.0
256,G#,C#,5,E,"(1, 4, 8)",i,C#,E,c#,32.0,6.0
257,G#,C#,5,E,"(1, 4, 8)",i,C#,E,c#,32.125,6.0
258,G#,C#,5,E,"(1, 4, 8)",i,C#,E,c#,32.25,6.0
259,G#,C#,5,E,"(1, 4, 8)",i,C#,E,c#,32.375,6.0
260,G#,C#,5,E,"(1, 4, 8)",i,C#,E,c#,32.5,6.0
261,G#,C#,5,E,"(1, 4, 8)",i,C#,E,c#,32.625,6.0
262,G#,C#,5,E,"(1, 4, 8)",i,C#,E,c#,32.75,6.0
263,G#,C#,5,E,"(1, 4, 8)",i,C#,E,c#,32.875,6.0
264,F#,C,0,E,"(0, 4, 6, 10)",V7,A#,E,c#,33.0,6.0
265,F#,C,1,E,"(0, 4, 6, 10)",V7,A#,E,c#,33.125,6.0
266,F#,C,2,E,"(0, 4, 6, 10)",V7,A#,E,c#,33.25,6.0
267,F#,C,2,E,"(0, 4, 6, 10)",V7,A#,E,c#,33.375,6.0
268,F#,C,3,E,"(0, 4, 6, 10)",V7,A#,E,c#,33.5,6.0
269,F#,C,3,E,"(0, 4, 6, 10)",V7,A#,E,c#,33.625,6.0
270,F#,C,3,E,"(0, 4, 6, 10)",V7,A#,E,c#,33.75,6.0
271,F#,C,3,E,"(0, 4, 6, 10)",V7,A#,E,c#,33.875,6.0
272,F#,C,4,E,"(0, 4, 6, 10)",V7,A#,E,E,34.0,6.0
273,F#,C,4,E,"(0, 4, 6, 10)",V7,A#,E,E,34.125,6.0
274,F#,C,4,E,"(0, 4, 6, 10)",V7,A#,E,E,34.25,6.0
275,F#,C,4,E,"(0, 4, 6, 10)",V7,A#,E,E,34.375,6.0
276,F#,C,4,E,"(0, 4, 6, 10)",V7,A#,E,E,34.5,6.0
277,F#,C,4,E,"(0, 4, 6, 10)",V7,A#,E,E,34.625,6.0
278,F#,C,4,E,"(0, 4, 6, 10)",V7,A#,E,E,34.75,6.0
279,F#,C,4,E,"(0, 4, 6, 10)",V7,A#,E,E,34.875,6.0
280,F#,C,5,E,"(0, 4, 6, 10)",V7,A#,E,E,35.0,6.0
281,F#,C,5,E,"(0, 4, 6, 10)",V7,A#,E,E,35.125,6.0
282,F#,C,2,E,"(0, 4, 6, 10)",V7,A#,E,E,35.25,6.0
283,F#,C,2,E,"(0, 4, 6, 10)",V7,A#,E,E,35.375,6.0
284,F#,C,6,E,"(0, 4, 6, 10)",V7,A#,E,E,35.5,6.0
285,F#,C,6,E,"(0, 4, 6, 10)",V7,A#,E,E,35.625,6.0
286,F#,C,6,E,"(0, 4, 6, 10)",V7,A#,E,E,35.75,6.0
