,Alto35,Bass35,HarmonicRhythm7,LocalKey38,PitchClassSet121,RomanNumeral31,Soprano35,Tenor35,TonicizedKey38,offset,measure
0,F#,B,0,D,"(2, 6, 11)",vi,B,D,D,0.0,1.0
1,F#,B,1,D,"(2, 6, 11)",vi,B,D,D,0.125,1.0
2,F#,B,2,D,"(2, 6, 11)",vi,B,D,D,0.25,1.0
3,F#,B,2,D,"(2, 6, 11)",vi,B,D,D,0.375,1.0
4,F#,B,3,D,"(2, 6, 11)",vi,B,D,D,0.5,1.0
5,F#,B,3,D,"(2, 6, 11)",vi,B,D,D,0.625,1.0
6,F#,B,3,D,"(2, 6, 11)",vi,B,D,D,0.75,1.0
7,F#,B,3,D,"(2, 6, 11)",vi,B,D,D,0.875,1.0
8,D,A,0,D,"(2, 6, 9)",V7,F#,A,D,1.0,1.0
9,D,A,1,D,"(2, 6, 9)",V,F#,A,D,1.125,1.0
10,D,A,2,D,"(2, 6, 9)",V,F#,A,D,1.25,1.0
11,D,A,2,D,"(2, 6, 9)",V,F#,A,D,1.375,1.0
12,D,A,3,D,"(2, 6, 9)",V,F#,A,D,1.5,1.0
13,D,A,3,D,"(2, 6, 9)",V,F#,A,D,1.625,1.0
14,D,A,3,D,"(2, 6, 9)",V,F#,A,D,1.75,1.0
15,D,A,3,D,"(2, 6, 9)",V,F#,A,D,1.875,1.0
16,D,G,0,D,"(2, 7, 11)",IV,G,B,D,2.0,1.0
17,D,G,1,D,"(2, 7, 11)",IV,G,B,D,2.125,1.0
18,D,G,2,D,"(2, 7, 11)",IV,G,B,D,2.25,1.0
19,D,G,2,D,"(2, 7, 11)",IV,G,B,D,2.375,1.0
20,D,G,3,D,"(2, 7, 11)",IV,G,B,D,2.5,1.0
21,D,G,3,D,"(2, 7, 11)",IV,G,B,D,2.625,1.0
22,D,G,3,D,"(2, 7, 11)",IV,G,B,D,2.75,1.0
23,D,G,3,D,"(2, 7, 11)",IV,G,B,D,2.875,1.0
24,D,F#,0,D,"(2, 6, 9)",I,D,A,G,3.0,1.0
25,D,F#,1,D,"(2, 6, 9)",I,D,A,G,3.125,1.0
26,D,F#,2,D,"(2, 6, 9)",I,D,A,G,3.25,1.0
27,D,F#,2,D,"(2, 6, 9)",I,D,A,G,3.375,1.0
28,D,F#,3,D,"(2, 6, 9)",I,D,A,G,3.5,1.0
29,D,F#,3,D,"(2, 6, 9)",I,D,A,G,3.625,1.0
30,D,F#,3,D,"(2, 6, 9)",I,D,A,G,3.75,1.0
31,D,F#,3,D,"(2, 6, 9)",I,D,A,G,3.875,1.0
32,D,G,0,D,"(2, 7, 11)",IV,G,B,D,4.0,2.0
33,D,G,1,D,"(2, 7, 11)",IV,G,B,D,4.125,2.0
34,D,G,2,D,"(2, 7, 11)",IV,G,B,D,4.25,2.0
35,D,G,2,D,"(2, 7, 11)",IV,G,B,D,4.375,2.0
36,D,G,3,D,"(2, 7, 11)",IV,G,B,D,4.5,2.0
37,D,G,3,D,"(2, 7, 11)",IV,G,B,D,4.625,2.0
38,D,G,3,D,"(2, 7, 11)",IV,G,B,D,4.75,2.0
39,D,G,3,D,"(2, 7, 11)",IV,G,B,D,4.875,2.0
40,A,D,0,D,"(2, 6, 9)",I,D,F#,D,5.0,2.0
41,A,D,1,D,"(2, 6, 9)",I,D,F#,D,5.125,2.0
42,A,D,2,D,"(2, 6, 9)",I,D,F#,D,5.25,2.0
43,A,D,2,D,"(2, 6, 9)",I,D,F#,D,5.375,2.0
44,A,D,3,D,"(2, 6, 9)",I,D,F#,D,5.5,2.0
45,A,D,1,D,"(2, 6, 9)",I,D,F#,D,5.625,2.0
46,A,D,2,D,"(2, 6, 9)",I,D,F#,D,5.75,2.0
47,A,D,3,D,"(2, 6, 9)",I,D,F#,D,5.875,2.0
48,D,G,0,D,"(2, 7, 11)",IV,G,B,D,6.0,2.0
49,D,G,1,D,"(2, 7, 11)",IV,G,B,D,6.125,2.0
50,D,G,2,D,"(2, 7, 11)",IV,G,B,D,6.25,2.0
51,D,G,2,D,"(2, 7, 11)",IV,G,B,D,6.375,2.0
52,D,G,3,D,"(2, 7, 11)",IV,G,B,D,6.5,2.0
53,D,G,3,D,"(2, 7, 11)",IV,G,B,D,6.625,2.0
