,Alto35,Bass35,HarmonicRhythm7,LocalKey38,PitchClassSet121,RomanNumeral31,Soprano35,Tenor35,TonicizedKey38,offset,measure
0,F,A,0,d,"(2, 5, 9)",i,A,C,d,0.0,1.0
1,E,A,1,d,"(2, 5, 9)",i,A,C,d,0.125,1.0
2,E,A,2,d,"(2, 5, 9)",i,A,C,d,0.25,1.0
3,E,A,2,d,"(2, 5, 9)",i,A,C,d,0.375,1.0
4,E,A,3,d,"(2, 5, 9)",i,A,C,d,0.5,1.0
5,E,A,3,d,"(2, 5, 9)",i,A,C,d,0.625,1.0
6,E,A,3,d,"(2, 5, 9)",i,A,C#,d,0.75,1.0
7,E,A,3,d,"(2, 5, 9)",i,A,C#,d,0.875,1.0
8,E,A,4,d,"(2, 5, 9)",i,A,C,d,1.0,1.0
9,E,A,4,d,"(2, 5, 9)",i,A,C#,d,1.125,1.0
10,E,A,4,d,"(2, 5, 9)",i,A,C#,d,1.25,1.0
11,E,A,4,d,"(2, 5, 9)",i,A,C#,d,1.375,1.0
12,E,A,4,d,"(2, 5, 9)",i,A,C#,d,1.5,1.0
13,E,A,4,d,"(2, 5, 9)",i,A,C#,d,1.625,1.0
14,E,A,4,d,"(2, 5, 9)",i,A,C#,d,1.75,1.0
15,E,A,4,d,"(2, 5, 9)",i,A,C#,d,1.875,1.0
16,E,A,5,d,"(2, 5, 9)",i,A,C,d,2.0,1.0
17,E,A,5,d,"(2, 5, 9)",i,A,C,d,2.125,1.0
18,E,A,5,d,"(2, 5, 9)",i,A,C,d,2.25,1.0
19,E,A,5,d,"(2, 5, 9)",i,A,C,d,2.375,1.0
20,E,A,5,d,"(2, 5, 9)",i,A,C#,d,2.5,1.0
21,E,A,5,d,"(2, 5, 9)",i,A,C#,d,2.625,1.0
22,E,A,5,d,"(2, 5, 9)",i,A,C#,d,2.75,1.0
23,E,A,5,d,"(2, 5, 9)",i,A,C#,d,2.875,1.0
24,F,A,0,d,"(2, 5, 9)",i,D,D,d,3.0,1.0
25,F,A,1,d,"(2, 5, 9)",i,D,D,d,3.125,1.0
26,F,A,2,d,"(2, 5, 9)",i,D,D,d,3.25,1.0
27,F,A,2,d,"(2, 5, 9)",i,D,D,d,3.375,1.0
28,F,A,3,d,"(2, 5, 9)",i,D,D,d,3.5,1.0
29,F,A,3,d,"(2, 5, 9)",i,D,D,d,3.625,1.0
30,F,A,3,d,"(2, 5, 9)",i,D,D,d,3.75,1.0
31,F,A,3,d,"(2, 5, 9)",i,D,C#,d,3.875,1.0
32,E,A,0,d,"(1, 4, 9)",V,A,C#,d,4.0,2.0
33,E,A,1,d,"(1, 4, 9)",V,A,C#,d,4.125,2.0
34,E,A,2,d,"(1, 4, 9)",V,A,C#,d,4.25,2.0
35,E,A,2,d,"(1, 4, 9)",V,A,C#,d,4.375,2.0
36,E,A,3,d,"(1, 4, 9)",V,A,C#,d,4.5,2.0
37,E,A,3,d,"(1, 4, 9)",V,A,C#,d,4.625,2.0
38,E,A,3,d,"(1, 4, 9)",V,A,C#,d,4.75,2.0
39,E,A,3,d,"(1, 4, 9)",V,A,C#,d,4.875,2.0
40,E,A,4,d,"(2, 5, 9)",i,D,C#,d,5.0,2.0
41,E,A,4,d,"(2, 5, 9)",i,D,C#,d,5.125,2.0
42,E,A,4,d,"(2, 5, 9)",i,D,C#,d,5.25,2.0
43,E,A,4,d,"(2, 5, 9)",i,D,C#,d,5.375,2.0
44,E,A,4,d,"(2, 5, 9)",i,D,C#,d,5.5,2.0
45,E,A,4,d,"(2, 5, 9)",i,D,C#,d,5.625,2.0
46,E,A,4,d,"(2, 5, 9)",i,D,C#,d,5.75,2.0
47,E,A,4,d,"(2, 5, 9)",i,D,C#,d,5.875,2.0
48,E,A,0,d,"(1, 4, 9)",V,A,C#,d,6.0,2.0
49,E,A,1,d,"(1, 4, 9)",V,A,C#,d,6.125,2.0
50,E,A,2,d,"(1, 4, 9)",V,A,C#,d,6.25,2.0
51,E,A,2,d,"(1, 4, 9)",V,A,C#,d,6.375,2.0
52,E,A,3,d,"(1, 4, 9)",V,A,C#,d,6.5,2.0
53,E,A,3,d,"(1, 4, 9)",V,A,C#,d,6.625,2.0
54,E,A,3,d,"(1, 4, 9)",V,A,C#,d,6.75,2.0
55,E,A,3,d,"(1, 4, 9)",V,A,C#,d,6.875,2.0
56,E,A,4,d,"(2, 5, 9)",i,D,C#,d,7.0,2.0
57,E,A,1,d,"(2, 5, 9)",i,D,C#,d,7.125,2.0
58,E,A,2,d,"(2, 5, 9)",i,D,C#,d,7.25,2.0
59,E,A,4,d,"(2, 5, 9)",i,D,C#,d,7.375,2.0
60,E,A,3,d,"(2, 5, 9)",i,D,C#,d,7.5,2.0
61,E,A,3,d,"(2, 5, 9)",i,D,C#,d,7.625,2.0
62,E,A,4,d,"(2, 5, 9)",i,D,C#,d,7.75,2.0
63,E,A,4,d,"(2, 5, 9)",i,D,C#,d,7.875,2.0
64,F,A,0,d,"(2, 5, 9)",i,D,D,d,8.0,3.0
65,F,A,1,d,"(2, 5, 9)",i,D,D,d,8.125,3.0
66,F,A,2,d,"(2, 5, 9)",i,D,D,d,8.25,3.0
67,F,A,2,d,"(2, 5, 9)",i,D,D,d,8.375,3.0
68,F,A,3,d,"(2, 5, 9)",i,D,D,d,8.5,3.0
69,F,A,3,d,"(2, 5, 9)",i,D,D,d,8.625,3.0
70,F,A,3,d,"(2, 5, 9)",i,D,D,d,8.75,3.0
71,F,A,3,d,"(2, 5, 9)",i,D,D,d,8.875,3.0
72,E,A,4,d,"(2, 5, 9)",i,D,D,d,9.0,3.0
73,E,A,4,d,"(2, 5, 9)",i,D,D,d,9.125,3.0
74,E,A,4,d,"(2, 5, 9)",i,D,D,d,9.25,3.0
75,E,A,4,d,"(2, 5, 9)",i,D,D,d,9.375,3.0
76,E,A,4,d,"(2, 5, 9)",i,D,D,d,9.5,3.0
77,E,A,4,d,"(2, 5, 9)",i,D,D,d,9.625,3.0
78,E,A,4,d,"(2, 5, 9)",i,D,D,d,9.75,3.0
79,E,A,4,d,"(2, 5, 9)",i,D,D,d,9.875,3.0
80,E,A,0,d,"(1, 4, 9)",V,A,C#,d,10.0,3.0
81,E,A,1,d,"(1, 4, 9)",V,A,C#,d,10.125,3.0
82,E,A,2,d,"(1, 4, 9)",V,A,C#,d,10.25,3.0
83,E,A,2,d,"(1, 4, 9)",V,A,C#,d,10.375,3.0
84,E,A,3,d,"(1, 4, 9)",V,A,C#,d,10.5,3.0
85,E,A,3,d,"(1, 4, 9)",V,A,C#,d,10.625,3.0
86,E,A,3,d,"(1, 4, 9)",V,A,C#,d,10.75,3.0
87,E,A,3,d,"(1, 4, 9)",V,A,C#,d,10.875,3.0
88,C#,G,0,d,"(1, 4, 7, 9)",V7,E,A,d,11.0,3.0
89,C#,G,1,d,"(1, 4, 7, 9)",V7,E,A,d,11.125,3.0
90,C#,G,2,d,"(1, 4, 7, 9)",V7,E,A,d,11.25,3.0
91,C#,G,2,d,"(1, 4, 7, 9)",V7,E,A,d,11.375,3.0
