,Alto35,Bass35,HarmonicRhythm7,LocalKey38,PitchClassSet121,RomanNumeral31,Soprano35,Tenor35,TonicizedKey38,offset,measure
0,D#,G#,0,g#,"(3, 8, 11)",i,G#,B,g#,0.0,1.0
1,D#,G#,1,g#,"(3, 8, 11)",i,G#,B,g#,0.125,1.0
2,D#,G#,2,g#,"(3, 8, 11)",i,G#,B,g#,0.25,1.0
3,D#,G#,2,g#,"(3, 8, 11)",i,G#,B,g#,0.375,1.0
4,D#,G#,3,g#,"(3, 8, 11)",i,G#,B,g#,0.5,1.0
5,D#,G#,3,g#,"(3, 8, 11)",i,G#,B,g#,0.625,1.0
6,D#,G#,3,g#,"(3, 8, 11)",i,G#,B,g#,0.75,1.0
7,D#,G#,3,g#,"(3, 8, 11)",i,G#,B,g#,0.875,1.0
8,D#,G#,4,g#,"(3, 8, 11)",i,G#,B,g#,1.0,1.0
9,D#,G#,4,g#,"(3, 8, 11)",i,G#,B,g#,1.125,1.0
10,D#,G#,4,g#,"(3, 8, 11)",i,G#,B,g#,1.25,1.0
11,D#,G#,4,g#,"(3, 8, 11)",i,G#,B,g#,1.375,1.0
12,D#,G#,4,g#,"(3, 8, 11)",i,G#,B,g#,1.5,1.0
13,D#,G#,4,g#,"(3, 8, 11)",i,G#,B,g#,1.625,1.0
14,D#,G#,4,g#,"(3, 8, 11)",i,G#,B,g#,1.75,1.0
15,D#,G#,4,g#,"(3, 8, 11)",i,G#,B,g#,1.875,1.0
16,D#,G#,5,g#,"(3, 8, 11)",V,G#,B,g#,2.0,1.0
17,D#,G#,5,g#,"(3, 8, 11)",V,G#,B,g#,2.125,1.0
18,D#,G#,5,g#,"(3, 8, 11)",V,G#,B,g#,2.25,1.0
19,D#,G#,5,g#,"(3, 8, 11)",V,G#,B,g#,2.375,1.0
20,D#,G#,5,g#,"(3, 8, 11)",V,G#,B,g#,2.5,1.0
21,D#,G#,5,g#,"(3, 8, 11)",V,G#,B,g#,2.625,1.0
22,D#,G#,5,g#,"(3, 8, 11)",V,G#,B,g#,2.75,1.0
23,D#,G#,5,g#,"(3, 8, 11)",V,G#,B,g#,2.875,1.0
24,D#,G#,5,g#,"(3, 8, 11)",V,G#,B,g#,3.0,1.0
25,D#,G#,5,g#,"(3, 8, 11)",V,G#,B,g#,3.125,1.0
26,D#,G#,5,g#,"(3, 8, 11)",V,G#,B,g#,3.25,1.0
27,D#,G#,5,g#,"(3, 8, 11)",V,G#,B,g#,3.375,1.0
28,D#,G#,5,g#,"(3, 8, 11)",V,G#,B,g#,3.5,1.0
29,D#,G#,5,g#,"(3, 8, 11)",V,G#,B,g#,3.625,1.0
30,D#,G#,5,g#,"(3, 8, 11)",V,G#,B,g#,3.75,1.0
31,D#,G#,5,g#,"(3, 8, 11)",V,G#,B,g#,3.875,1.0
32,D#,G#,0,c#,"(4, 8, 11)",i,E,B,c#,4.0,2.0
33,D#,G#,1,c#,"(4, 8, 11)",i,E,B,c#,4.125,2.0
34,D#,G#,2,c#,"(4, 8, 11)",i,E,B,c#,4.25,2.0
35,D#,G#,2,c#,"(4, 8, 11)",i,E,B,c#,4.375,2.0
36,D#,G#,3,c#,"(4, 8, 11)",i,E,B,c#,4.5,2.0
37,D#,G#,3,c#,"(4, 8, 11)",i,E,B,c#,4.625,2.0
38,D#,G#,3,c#,"(4, 8, 11)",i,E,B,c#,4.75,2.0
39,D#,G#,3,c#,"(4, 8, 11)",i,E,B,c#,4.875,2.0
40,D#,G#,4,c#,"(4, 8, 11)",i,E,B,c#,5.0,2.0
41,D#,G#,4,c#,"(4, 8, 11)",i,E,B,c#,5.125,2.0
42,D#,G#,4,c#,"(4, 8, 11)",i,E,B,c#,5.25,2.0
43,D#,G#,4,c#,"(4, 8, 11)",i,E,B,c#,5.375,2.0
44,D#,G#,4,c#,"(4, 8, 11)",i,E,B,c#,5.5,2.0
45,D#,G#,4,c#,"(4, 8, 11)",i,E,B,c#,5.625,2.0
46,D#,G#,4,c#,"(4, 8, 11)",i,E,B,c#,5.75,2.0
47,D#,G#,4,c#,"(4, 8, 11)",i,E,B,c#,5.875,2.0
48,D#,G#,5,c#,"(1, 4, 8)",i,E,B,c#,6.0,2.0
49,D#,G#,5,c#,"(1, 4, 8)",i,E,B,c#,6.125,2.0
50,D#,G#,5,c#,"(4, 8, 11)",i,E,B,c#,6.25,2.0
51,D#,G#,5,c#,"(4, 8, 11)",i,E,B,c#,6.375,2.0
52,D#,G#,5,c#,"(1, 4, 8)",i,E,B,c#,6.5,2.0
53,D#,G#,5,c#,"(1, 4, 8)",i,E,B,c#,6.625,2.0
54,D#,G#,5,c#,"(1, 4, 8)",i,E,B,c#,6.75,2.0
55,D#,G#,5,c#,"(1, 4, 8)",i,E,B,c#,6.875,2.0
56,G#,G#,5,c#,"(1, 4, 8)",i,G#,G#,c#,7.0,2.0
57,G#,G#,5,c#,"(1, 4, 8)",i,G#,G#,c#,7.125,2.0
58,G#,G#,5,c#,"(1, 4, 8)",i,G#,G#,c#,7.25,2.0
59,G#,G#,5,c#,"(1, 4, 8)",i,G#,G#,c#,7.375,2.0
60,G#,G#,5,c#,"(1, 4, 8)",i,G#,G#,c#,7.5,2.0
61,G#,G#,5,c#,"(1, 4, 8)",i,G#,G#,c#,7.625,2.0
62,G#,G#,5,c#,"(1, 4, 8)",i,G#,G#,c#,7.75,2.0
63,G#,G#,5,c#,"(1, 4, 8)",i,G#,G#,c#,7.875,2.0
64,G#,C#,0,c#,"(1, 4, 8)",i,C#,E,c#,8.0,3.0
65,G#,C#,1,c#,"(1, 4, 8)",i,C#,E,c#,8.125,3.0
66,G#,C#,2,c#,"(1, 4, 8)",i,C#,E,c#,8.25,3.0
67,G#,C#,2,c#,"(1, 4, 8)",i,C#,E,c#,8.375,3.0
68,G#,C#,3,c#,"(1, 4, 8)",i,C#,E,c#,8.5,3.0
69,G#,C#,3,c#,"(1, 4, 8)",i,C#,E,c#,8.625,3.0
70,G#,C#,3,c#,"(1, 4, 8)",i,C#,E,c#,8.75,3.0
71,G#,C#,3,c#,"(1, 4, 8)",i,C#,E,c#,8.875,3.0
72,G#,G#,4,c#,"(1, 4, 8)",i,C#,E,c#,9.0,3.0
73,E,G#,4,c#,"(1, 4, 8)",i,C#,E,c#,9.125,3.0
74,E,G#,4,c#,"(1, 4, 8)",i,E,E,c#,9.25,3.0
75,E,G#,4,c#,"(1, 4, 8)",i,E,E,c#,9.375,3.0
76,E,G#,3,c#,"(1, 4, 8)",i,E,E,c#,9.5,3.0
77,E,G#,3,c#,"(1, 4, 8)",i,E,E,c#,9.625,3.0
78,E,G#,3,c#,"(1, 4, 8)",i,E,E,c#,9.75,3.0
79,E,G#,3,c#,"(1, 4, 8)",i,E,E,c#,9.875,3.0
80,E,G#,5,c#,"(1, 4, 8)",i,E,E,c#,10.0,3.0
81,E,G#,5,c#,"(1, 4, 8)",i,E,E,c#,10.125,3.0
82,E,G#,5,c#,"(1, 4, 8)",i,E,E,c#,10.25,3.0
83,E,G#,5,c#,"(1, 4, 8)",i,E,E,c#,10.375,3.0
84,E,G#,5,c#,"(1, 4, 8)",i,E,E,c#,10.5,3.0
85,E,G#,5,c#,"(1, 4, 8)",i,E,E,c#,10.625,3.0
86,E,G#,5,c#,"(1, 4, 8)",i,E,E,c#,10.75,3.0
87,E,G#,5,c#,"(1, 4, 8)",i,E,E,c#,10.875,3.0
88,B#,F#,0,c#,"(0, 3, 6, 9)",viio7,D#,A,c#,11.0,3.0
89,B#,F#,1,c#,"(0, 3, 6, 9)",viio7,D#,A,c#,11.125,3.0
90,B#,F#,2,c#,"(0, 3, 6, 9)",viio7,D#,A,c#,11.25,3.0
91,B#,F#,2,c#,"(0, 3, 6, 9)",viio7,D#,A,c#,11.375,3.0
92,B#,F#,3,c#,"(0, 3, 6, 9)",viio7,D#,A,c#,11.5,3.0
93,B#,F#,3,c#,"(0, 3, 6, 9)",viio7,D#,A,c#,11.625,3.0
94,B#,F#,3,c#,"(0, 3, 6, 9)",viio7,D#,A,c#,11.75,3.0
95,B#,F#,3,c#,"(0, 3, 6, 9)",viio7,D#,A,c#,11.875,3.0
96,C#,E,0,c#,"(1, 4, 8)",i,C#,G#,c#,12.0,4.0
97,C#,E,1,c#,"(1, 4, 8)",i,C#,G#,c#,12.125,4.0
98,C#,E,2,c#,"(1, 4, 8)",i,C#,G#,c#,12.25,4.0
99,C#,E,2,c#,"(1, 4, 8)",i,C#,G#,c#,12.375,4.0
100,C#,E,3,c#,"(1, 4, 8)",i,C#,G#,c#,12.5,4.0
101,C#,E,3,c#,"(1, 4, 8)",i,C#,G#,c#,12.625,4.0
102,C#,E,3,c#,"(1, 4, 8)",i,C#,G#,c#,12.75,4.0
103,C#,E,3,c#,"(1, 4, 8)",i,C#,G#,c#,12.875,4.0
104,G#,D,0,c#,"(2, 5, 8, 11)",viio7,B,F,f#,13.0,4.0
105,G#,D,1,c#,"(2, 5, 8, 11)",viio7,B,F,f#,13.125,4.0
106,G#,D,2,c#,"(2, 5, 8, 11)",viio7,B,F,f#,13.25,4.0
107,G#,D,2,c#,"(2, 5, 8, 11)",viio7,B,F,f#,13.375,4.0
108,G#,D,3,c#,"(2, 5, 8, 11)",viio7,B,F,f#,13.5,4.0
109,G#,D,3,c#,"(2, 5, 8, 11)",viio7,B,F,f#,13.625,4.0
110,G#,D,3,c#,"(2, 5, 8, 11)",viio7,B,F,f#,13.75,4.0
111,G#,D,3,c#,"(2, 5, 8, 11)",viio7,B,F,f#,13.875,4.0
