,Alto35,Bass35,HarmonicRhythm7,LocalKey38,PitchClassSet121,RomanNumeral31,Soprano35,Tenor35,TonicizedKey38,offset,measure
0,A,D,0,D,"(2, 6, 9)",I,D,F#,D,0.0,1.0
1,A,D,1,D,"(2, 6, 9)",I,D,F#,D,0.125,1.0
2,A,D,2,D,"(2, 6, 9)",I,D,F#,D,0.25,1.0
3,A,D,2,D,"(2, 6, 9)",I,D,F#,D,0.375,1.0
4,A,D,0,D,"(2, 6, 9)",I,D,F#,D,0.5,1.0
5,A,D,1,D,"(2, 6, 9)",I,D,F#,D,0.625,1.0
6,A,D,2,D,"(2, 6, 9)",I,D,F#,D,0.75,1.0
7,A,D,3,D,"(2, 6, 9)",I,D,F#,D,0.875,1.0
8,A,D,0,D,"(2, 6, 9)",I,D,F#,D,1.0,1.0
9,A,D,1,D,"(2, 6, 9)",I,D,F#,D,1.125,1.0
10,A,D,2,D,"(2, 6, 9)",I,D,F#,D,1.25,1.0
11,A,D,2,D,"(2, 6, 9)",I,D,F#,D,1.375,1.0
12,A,D,4,D,"(2, 6, 9)",I,D,F#,D,1.5,1.0
13,A,D,4,D,"(2, 6, 9)",I,D,F#,D,1.625,1.0
14,A,D,4,D,"(2, 6, 9)",I,D,F#,D,1.75,1.0
15,A,D,4,D,"(2, 6, 9)",I,D,F#,D,1.875,1.0
16,A,D,0,D,"(2, 6, 9)",I,D,F#,D,2.0,2.0
17,A,D,1,D,"(2, 6, 9)",I,D,F#,D,2.125,2.0
18,A,D,2,D,"(2, 6, 9)",I,D,F#,D,2.25,2.0
19,A,D,2,D,"(2, 6, 9)",I,D,F#,D,2.375,2.0
20,A,D,3,D,"(2, 6, 9)",I,D,F#,D,2.5,2.0
21,A,D,3,D,"(2, 6, 9)",I,D,F#,D,2.625,2.0
22,A,D,3,D,"(2, 6, 9)",I,D,F#,D,2.75,2.0
23,A,D,3,D,"(2, 6, 9)",I,D,F#,D,2.875,2.0
24,A,D,0,D,"(2, 6, 9)",I,D,F#,D,3.0,2.0
25,A,D,1,D,"(2, 6, 9)",I,D,F#,D,3.125,2.0
26,A,D,2,D,"(2, 6, 9)",I,D,F#,D,3.25,2.0
27,A,D,2,D,"(2, 6, 9)",I,D,F#,D,3.375,2.0
28,A,D,3,D,"(2, 6, 9)",I,D,F#,D,3.5,2.0
29,A,D,3,D,"(2, 6, 9)",I,D,F#,D,3.625,2.0
30,A,D,3,D,"(2, 6, 9)",I,D,F#,D,3.75,2.0
31,A,D,3,D,"(2, 6, 9)",I,D,F#,D,3.875,2.0
32,A,D,0,D,"(2, 6, 9)",V7,D,F#,D,4.0,3.0
33,G#,D,1,D,"(2, 6, 9)",V7,D,F#,D,4.125,3.0
34,G#,D,2,D,"(2, 6, 9)",V7,D,F#,D,4.25,3.0
35,G#,D,2,D,"(2, 6, 9)",V7,D,F#,D,4.375,3.0
36,A,D,0,D,"(2, 6, 9)",I,D,F#,D,4.5,3.0
37,A,D,1,D,"(2, 6, 9)",I,D,F#,D,4.625,3.0
38,A,D,2,D,"(2, 6, 9)",I,D,F#,D,4.75,3.0
39,A,D,2,D,"(2, 6, 9)",I,D,F#,D,4.875,3.0
40,A,F#,0,D,"(2, 6, 9)",V7,D,A,D,5.0,3.0
41,A,F#,1,D,"(2, 6, 9)",V7,D,A,D,5.125,3.0
42,A,F#,2,D,"(2, 6, 9)",V7,D,A,D,5.25,3.0
43,A,F#,2,D,"(2, 6, 9)",V7,D,A,D,5.375,3.0
44,A,F#,0,D,"(2, 6, 9)",I,D,A,D,5.5,3.0
45,A,F#,4,D,"(2, 6, 9)",I,D,A,D,5.625,3.0
46,A,F#,4,D,"(2, 6, 9)",I,D,A,D,5.75,3.0
47,A,F#,4,D,"(2, 6, 9)",I,D,A,D,5.875,3.0
48,C#,G,0,D,"(2, 7, 11)",viio,G,B,D,6.0,4.0
49,C#,G,1,D,"(2, 7, 11)",viio,G,B,D,6.125,4.0
50,C#,G,2,D,"(2, 7, 11)",viio,G,B,D,6.25,4.0
51,C#,G,2,D,"(2, 7, 11)",viio,G,B,D,6.375,4.0
52,D,G,0,D,"(2, 7, 11)",i,G,B,D,6.5,4.0
53,D,G,1,D,"(2, 7, 11)",i,G,B,D,6.625,4.0
54,D,G,2,D,"(2, 7, 11)",i,G,B,D,6.75,4.0
55,D,G,2,D,"(2, 7, 11)",IV,G,B,D,6.875,4.0
56,D,G,0,D,"(2, 7, 11)",ii,G,B,D,7.0,4.0
57,D,G,1,D,"(2, 7, 11)",ii,G,B,D,7.125,4.0
58,D,G,2,D,"(2, 7, 11)",ii,G,B,D,7.25,4.0
59,D,G,2,D,"(2, 7, 11)",ii,G,B,D,7.375,4.0
60,E,G,4,D,"(4, 7, 11)",ii,E,B,D,7.5,4.0
61,E,G,4,D,"(4, 7, 11)",ii,E,B,D,7.625,4.0
62,E,G,4,D,"(4, 7, 11)",ii,E,B,D,7.75,4.0
63,E,G,4,D,"(4, 7, 11)",ii,E,B,D,7.875,4.0
64,B,E,0,D,"(1, 4, 7)",viio,C#,G,D,8.0,5.0
65,B,E,1,D,"(1, 4, 7)",viio,C#,G,D,8.125,5.0
66,B,E,2,D,"(1, 4, 7)",viio,C#,G,D,8.25,5.0
67,B,E,2,D,"(1, 4, 7)",viio,C#,G,D,8.375,5.0
68,G#,D,0,D,"(2, 5, 8, 11)",viio7,B,F,a,8.5,5.0
69,G#,D,1,A,"(2, 5, 8, 11)",viio7,B,F,a,8.625,5.0
70,G#,D,2,A,"(2, 5, 8, 11)",viio7,B,F,a,8.75,5.0
71,G#,D,2,A,"(2, 5, 8, 11)",viio7,B,F,a,8.875,5.0
72,A,C#,0,A,"(1, 4, 9)",V,A,E,A,9.0,5.0
73,A,C#,1,A,"(1, 4, 9)",V,A,E,A,9.125,5.0
74,A,C#,2,A,"(1, 4, 9)",V,A,E,A,9.25,5.0
75,A,C#,2,A,"(1, 4, 9)",V,A,E,A,9.375,5.0
76,G#,B,0,A,"(2, 8, 11)",viio,G#,D,A,9.5,5.0
77,G#,B,1,A,"(2, 8, 11)",viio7,G#,D,A,9.625,5.0
78,G#,B,2,A,"(2, 8, 11)",viio7,G#,D,A,9.75,5.0
79,G#,B,2,A,"(2, 8, 11)",viio7,G#,D,A,9.875,5.0
80,E,A#,0,A,"(1, 4, 7, 10)",viio7,G,C#,b,10.0,6.0
81,E,A#,1,A,"(1, 4, 7, 10)",viio7,G,C#,b,10.125,6.0
82,E,A#,2,A,"(1, 4, 7, 10)",viio7,G,C#,b,10.25,6.0
83,E,A#,2,A,"(1, 4, 7, 10)",viio7,G,C#,b,10.375,6.0
84,E,A#,3,A,"(1, 4, 7, 10)",viio7,A#,C#,b,10.5,6.0
