,Alto35,Bass35,HarmonicRhythm7,LocalKey38,PitchClassSet121,RomanNumeral31,Soprano35,Tenor35,TonicizedKey38,offset,measure
0,B,E,0,E,"(4, 8, 11)",I,E,G#,E,0.0,1.0
1,B,E,1,E,"(4, 8, 11)",I,E,G#,E,0.125,1.0
2,B,E,2,E,"(4, 8, 11)",I,E,G#,E,0.25,1.0
3,B,E,2,E,"(4, 8, 11)",I,E,G#,E,0.375,1.0
4,B,E,3,E,"(4, 8, 11)",I,E,G#,E,0.5,1.0
5,B,E,3,E,"(4, 8, 11)",I,E,G#,E,0.625,1.0
6,B,E,3,E,"(4, 8, 11)",I,E,G#,E,0.75,1.0
7,B,E,3,E,"(4, 8, 11)",I,E,G#,E,0.875,1.0
8,B,E,4,E,"(4, 8, 11)",I,E,G#,E,1.0,1.0
9,B,E,4,E,"(4, 8, 11)",I,E,G#,E,1.125,1.0
10,B,E,4,E,"(4, 8, 11)",I,E,G#,E,1.25,1.0
11,B,E,4,E,"(4, 8, 11)",I,E,G#,E,1.375,1.0
12,F#,B,0,E,"(3, 6, 9, 11)",V7,A,D#,E,1.5,1.0
13,F#,B,1,E,"(3, 6, 9, 11)",V7,A,D#,E,1.625,1.0
14,F#,B,2,E,"(3, 6, 9, 11)",V7,A,D#,E,1.75,1.0
15,F#,B,2,E,"(3, 6, 9, 11)",V7,A,D#,E,1.875,1.0
16,F#,B,3,E,"(3, 6, 9, 11)",V7,A,D#,E,2.0,1.0
17,F#,B,3,E,"(3, 6, 9, 11)",V7,A,D#,E,2.125,1.0
18,F#,B,3,E,"(3, 6, 9, 11)",V7,A,D#,E,2.25,1.0
19,F#,B,3,E,"(3, 6, 9, 11)",V7,A,D#,E,2.375,1.0
20,F#,A,0,E,"(3, 6, 9)",V7,D#,D#,E,2.5,1.0
21,F#,A,1,E,"(3, 6, 9)",V7,D#,D#,E,2.625,1.0
22,F#,A,2,E,"(3, 6, 9)",V7,D#,D#,E,2.75,1.0
23,F#,A,2,E,"(3, 6, 9)",V7,D#,D#,E,2.875,1.0
24,B,E,0,E,"(4, 8, 11)",I,E,G#,E,3.0,2.0
25,B,E,1,E,"(4, 8, 11)",I,E,G#,E,3.125,2.0
26,B,E,2,E,"(4, 8, 11)",I,E,G#,E,3.25,2.0
27,B,E,2,E,"(4, 8, 11)",I,E,G#,E,3.375,2.0
28,B,E,3,E,"(4, 8, 11)",I,E,G#,E,3.5,2.0
29,B,E,3,E,"(4, 8, 11)",I,E,G#,E,3.625,2.0
30,B,E,3,E,"(4, 8, 11)",I,E,G#,E,3.75,2.0
31,B,E,3,E,"(4, 8, 11)",I,E,G#,E,3.875,2.0
32,B,E,4,E,"(4, 8, 11)",I,E,G#,E,4.0,2.0
33,B,E,4,E,"(4, 8, 11)",I,E,G#,E,4.125,2.0
34,B,E,4,E,"(4, 8, 11)",I,E,G#,E,4.25,2.0
35,B,E,4,E,"(4, 8, 11)",I,E,G#,E,4.375,2.0
36,B,D,0,E,"(2, 4, 8, 11)",V7,B,E,A,4.5,2.0
37,B,D,1,E,"(2, 4, 8, 11)",V7,B,E,A,4.625,2.0
38,B,D,2,E,"(2, 4, 8, 11)",V7,B,E,A,4.75,2.0
39,B,D,2,E,"(2, 4, 8, 11)",V7,B,E,A,4.875,2.0
40,A,C#,0,E,"(1, 4, 9)",IV,A,E,E,5.0,2.0
41,A,C#,1,E,"(1, 4, 9)",IV,A,E,E,5.125,2.0
42,A,C#,2,E,"(1, 4, 9)",IV,A,E,E,5.25,2.0
43,A,C#,2,E,"(1, 4, 9)",IV,A,E,E,5.375,2.0
44,G#,B,0,E,"(4, 8, 11)",I,E,E,E,5.5,2.0
45,G#,B,1,E,"(4, 8, 11)",I,E,E,E,5.625,2.0
46,G#,B,2,E,"(4, 8, 11)",I,E,E,E,5.75,2.0
47,G#,B,2,E,"(4, 8, 11)",I,E,E,E,5.875,2.0
48,E,A,0,E,"(1, 4, 9)",IV,A,C#,E,6.0,3.0
49,E,A,1,E,"(1, 4, 9)",IV,A,C#,E,6.125,3.0
50,E,A,2,E,"(1, 4, 9)",IV,A,C#,E,6.25,3.0
51,E,A,2,E,"(1, 4, 9)",IV,A,C#,E,6.375,3.0
52,E,A,3,E,"(1, 4, 9)",IV,A,C#,E,6.5,3.0
53,E,A,3,E,"(1, 4, 9)",IV,A,C#,E,6.625,3.0
54,E,A,3,E,"(1, 4, 9)",IV,A,C#,E,6.75,3.0
55,E,A,3,E,"(1, 4, 9)",IV,A,C#,E,6.875,3.0
56,E,A,4,E,"(1, 4, 9)",IV,A,C#,E,7.0,3.0
57,E,A,4,E,"(1, 4, 9)",IV,A,C#,E,7.125,3.0
58,E,A,4,E,"(1, 4, 9)",IV,A,C#,E,7.25,3.0
59,E,A,4,E,"(1, 4, 9)",IV,A,C#,E,7.375,3.0
60,E,A,0,E,"(1, 4, 9)",IV,A,C#,E,7.5,3.0
61,E,A,1,E,"(1, 4, 9)",IV,A,C#,E,7.625,3.0
62,E,A,2,E,"(1, 4, 9)",IV,A,C#,E,7.75,3.0
63,E,A,4,E,"(1, 4, 9)",IV,A,C#,E,7.875,3.0
64,E,A,0,E,"(1, 4, 9)",IV,A,C#,E,8.0,3.0
65,E,A,1,E,"(1, 4, 9)",IV,A,C#,E,8.125,3.0
66,E,A,2,E,"(1, 4, 9)",IV,A,C#,E,8.25,3.0
67,E,A,2,E,"(1, 4, 9)",IV,A,C#,E,8.375,3.0
68,E,A,5,E,"(1, 4, 9)",IV,A,C#,E,8.5,3.0
69,E,A,5,E,"(1, 4, 9)",IV,A,C#,E,8.625,3.0
70,E,A,5,E,"(1, 4, 9)",IV,A,C#,E,8.75,3.0
71,E,A,5,E,"(1, 4, 9)",IV,A,C#,E,8.875,3.0
72,E,G#,0,E,"(4, 8, 11)",I,E,B,E,9.0,4.0
73,E,G#,1,E,"(4, 8, 11)",I,E,B,E,9.125,4.0
74,E,G#,2,E,"(4, 8, 11)",I,E,B,E,9.25,4.0
75,E,G#,2,E,"(4, 8, 11)",I,E,B,E,9.375,4.0
76,E,G#,3,E,"(4, 8, 11)",I,E,B,E,9.5,4.0
77,E,G#,3,E,"(4, 8, 11)",I,E,B,E,9.625,4.0
78,E,G#,3,E,"(4, 8, 11)",I,E,B,E,9.75,4.0
79,E,G#,3,E,"(4, 8, 11)",I,E,B,E,9.875,4.0
80,F#,A,0,E,"(1, 6, 9)",ii,F#,C#,E,10.0,4.0
81,F#,A,1,E,"(1, 6, 9)",ii,F#,C#,E,10.125,4.0
82,F#,A,2,E,"(1, 6, 9)",ii,F#,C#,E,10.25,4.0
83,F#,A,2,E,"(1, 6, 9)",ii,F#,C#,E,10.375,4.0
84,F#,B,0,E,"(3, 6, 11)",V,B,D#,E,10.5,4.0
85,F#,B,1,E,"(3, 6, 11)",V,B,D#,E,10.625,4.0
86,F#,B,2,E,"(3, 6, 11)",V,B,D#,E,10.75,4.0
87,F#,B,2,E,"(3, 6, 11)",V,B,D#,E,10.875,4.0
88,F#,B,3,E,"(3, 6, 11)",V,B,D#,E,11.0,4.0
89,F#,B,3,E,"(3, 6, 11)",V,B,D#,E,11.125,4.0
90,F#,B,3,E,"(3, 6, 11)",V,B,D#,E,11.25,4.0
91,F#,B,3,E,"(3, 6, 11)",V,B,D#,E,11.375,4.0
92,F#,B,4,E,"(3, 6, 11)",V,B,D#,E,11.5,4.0
93,F#,B,4,E,"(3, 6, 11)",V,B,D#,E,11.625,4.0
94,F#,B,4,E,"(3, 6, 11)",V,B,D#,E,11.75,4.0
95,F#,B,4,E,"(3, 6, 11)",V,B,D#,E,11.875,4.0
96,D#,G#,0,E,"(4, 8, 11)",I,G#,B,E,12.0,5.0
97,E,G#,1,E,"(4, 8, 11)",I,G#,B,E,12.125,5.0
98,E,G#,2,E,"(3, 8, 11)",I,G#,B,E,12.25,5.0
99,E,G#,2,E,"(3, 8, 11)",I,G#,B,E,12.375,5.0
100,E,G#,3,E,"(3, 8, 11)",I,G#,B,E,12.5,5.0
101,E,G#,3,E,"(4, 8, 11)",I,G#,B,E,12.625,5.0
102,E,G#,3,E,"(4, 8, 11)",I,G#,B,E,12.75,5.0
103,E,G#,3,E,"(4, 8, 11)",I,G#,B,E,12.875,5.0
104,E,G#,4,E,"(3, 8, 11)",I,G#,B,E,13.0,5.0
105,E,G#,4,E,"(4, 8, 11)",I,G#,B,E,13.125,5.0
106,E,G#,4,E,"(3, 8, 11)",I,G#,B,E,13.25,5.0
107,E,G#,4,E,"(3, 8, 11)",I,G#,B,E,13.375,5.0
108,C#,F#,0,E,"(1, 6, 9)",ii,F#,A,E,13.5,5.0
109,C#,F#,1,E,"(1, 6, 9)",ii,F#,A,E,13.625,5.0
110,C#,F#,2,E,"(1, 6, 9)",ii,F#,A,E,13.75,5.0
111,C#,F#,2,E,"(1, 6, 9)",ii,F#,A,E,13.875,5.0
112,C#,F#,3,E,"(1, 6, 9)",ii,F#,A,E,14.0,5.0
113,C#,F#,3,E,"(1, 6, 9)",ii,F#,A,E,14.125,5.0
114,C#,F#,3,E,"(1, 6, 9)",ii,F#,A,E,14.25,5.0
115,C#,F#,3,E,"(1, 6, 9)",ii,F#,A,E,14.375,5.0
116,C#,F#,4,E,"(1, 6, 9)",ii,F#,A,E,14.5,5.0
117,C#,F#,4,E,"(1, 6, 9)",ii,F#,A,E,14.625,5.0
118,C#,F#,4,E,"(1, 6, 9)",ii,F#,A,E,14.75,5.0
119,C#,F#,4,E,"(1, 6, 9)",ii,F#,A,E,14.875,5.0
120,F#,B,0,E,"(3, 6, 9, 11)",V,A,D#,E,15.0,6.0
121,F#,B,1,E,"(3, 6, 9, 11)",V7,A,D#,E,15.125,6.0
122,F#,B,2,E,"(3, 6, 9, 11)",V7,A,D#,E,15.25,6.0
123,F#,B,2,E,"(3, 6, 9, 11)",V7,A,D#,E,15.375,6.0
124,F#,B,3,E,"(3, 6, 9, 11)",V7,A,D#,E,15.5,6.0
125,F#,B,3,E,"(3, 6, 9, 11)",V7,A,D#,E,15.625,6.0
126,F#,B,3,E,"(3, 6, 9, 11)",V7,A,D#,E,15.75,6.0
127,F#,B,3,E,"(3, 6, 9, 11)",V7,A,D#,E,15.875,6.0
128,F#,F#,0,E,"(3, 6, 9, 11)",V7,D#,D#,E,16.0,6.0
129,F#,F#,1,E,"(3, 6, 9)",V7,D#,D#,E,16.125,6.0
130,F#,F#,2,E,"(3, 6, 9)",V7,D#,D#,E,16.25,6.0
131,F#,F#,2,E,"(3, 6, 9)",V7,D#,D#,E,16.375,6.0
132,A,D#,0,E,"(3, 6, 9)",viio,A,D#,E,16.5,6.0
133,A,D#,1,E,"(3, 6, 9)",viio,A,D#,E,16.625,6.0
134,A,D#,2,E,"(3, 6, 9)",viio,A,D#,E,16.75,6.0
135,A,D#,2,E,"(3, 6, 9)",viio,A,D#,E,16.875,6.0
136,A,B,0,E,"(3, 6, 9, 11)",V7,A,D#,E,17.0,6.0
137,A,B,1,E,"(3, 6, 9, 11)",V7,A,D#,E,17.125,6.0
138,A,B,2,E,"(3, 6, 9, 11)",V7,A,D#,E,17.25,6.0
139,A,B,3,E,"(3, 6, 9, 11)",V7,A,D#,E,17.375,6.0
140,F#,B,0,E,"(3, 6, 9, 11)",V7,A,D#,E,17.5,6.0
141,F#,B,1,E,"(3, 6, 9, 11)",V7,A,D#,E,17.625,6.0
142,F#,B,4,E,"(3, 6, 9, 11)",V7,A,D#,E,17.75,6.0
143,F#,B,4,E,"(3, 6, 9, 11)",V7,A,D#,E,17.875,6.0
144,F#,B,0,E,"(3, 6, 9, 11)",I,A,D#,E,18.0,7.0
145,F#,B,1,E,"(3, 6, 9, 11)",I,A,D#,E,18.125,7.0
146,F#,B,2,E,"(3, 6, 9, 11)",I,A,D#,E,18.25,7.0
147,F#,B,2,E,"(3, 6, 9, 11)",I,A,D#,E,18.375,7.0
148,F#,B,3,E,"(3, 6, 9, 11)",I,A,D#,E,18.5,7.0
149,F#,B,3,E,"(3, 6, 9, 11)",I,A,D#,E,18.625,7.0
150,F#,B,3,E,"(3, 6, 9, 11)",I,A,D#,E,18.75,7.0
151,F#,B,3,E,"(3, 6, 9, 11)",V7,A,D#,E,18.875,7.0
152,F#,B,4,E,"(3, 6, 9, 11)",V7,A,D#,E,19.0,7.0
153,F#,B,4,E,"(3, 6, 9, 11)",V7,A,D#,E,19.125,7.0
154,F#,B,4,E,"(3, 6, 9, 11)",V7,A,D#,E,19.25,7.0
155,F#,B,4,E,"(3, 6, 9, 11)",V7,A,D#,E,19.375,7.0
156,G#,B,0,E,"(4, 8, 11)",I,A,E,E,19.5,7.0
157,G#,B,1,E,"(4, 8, 11)",I,A,E,E,19.625,7.0
158,G#,B,2,E,"(4, 8, 11)",I,A,E,E,19.75,7.0
159,G#,B,4,E,"(4, 8, 11)",I,A,E,E,19.875,7.0
160,F#,B,0,E,"(3, 6, 9, 11)",V7,A,D#,E,20.0,7.0
161,F#,B,1,E,"(3, 6, 9, 11)",V7,A,D#,E,20.125,7.0
162,F#,B,2,E,"(3, 6, 9, 11)",V7,A,D#,E,20.25,7.0
163,F#,B,2,E,"(3, 6, 9, 11)",V7,A,D#,E,20.375,7.0
164,G#,B,0,E,"(4, 8, 11)",I,E,E,E,20.5,7.0
165,G#,B,1,E,"(4, 8, 11)",I,E,E,E,20.625,7.0
166,G#,B,2,E,"(4, 8, 11)",I,E,E,E,20.75,7.0
167,G#,B,2,E,"(4, 8, 11)",I,E,E,E,20.875,7.0
168,F#,B,0,E,"(3, 6, 9, 11)",V7,B,D#,E,21.0,8.0
169,F#,B,1,E,"(3, 6, 9, 11)",V7,B,D#,E,21.125,8.0
170,F#,B,2,E,"(3, 6, 9, 11)",V7,B,D#,E,21.25,8.0
171,F#,B,2,E,"(3, 6, 9, 11)",V7,B,D#,E,21.375,8.0
172,F#,B,3,E,"(3, 6, 9, 11)",V7,B,D#,E,21.5,8.0
173,F#,B,3,E,"(3, 6, 9, 11)",V7,A,D#,E,21.625,8.0
174,F#,B,3,E,"(3, 6, 9, 11)",V7,A,D#,E,21.75,8.0
175,F#,B,3,E,"(3, 6, 9, 11)",V7,A,D#,E,21.875,8.0
176,F#,B,4,E,"(3, 6, 9, 11)",V7,A,D#,E,22.0,8.0
177,F#,B,4,E,"(3, 6, 9, 11)",V7,A,D#,E,22.125,8.0
178,F#,B,4,E,"(3, 6, 9, 11)",V7,A,D#,E,22.25,8.0
179,F#,B,4,E,"(3, 6, 9, 11)",V7,A,D#,E,22.375,8.0
180,F#,B,0,E,"(3, 6, 9, 11)",V7,A,D#,E,22.5,8.0
181,F#,B,1,E,"(3, 6, 9, 11)",V7,A,D#,E,22.625,8.0
182,F#,B,4,E,"(3, 6, 9, 11)",V7,A,D#,E,22.75,8.0
183,F#,B,4,E,"(3, 6, 9, 11)",V7,A,D#,E,22.875,8.0
184,F#,B,5,E,"(3, 6, 9, 11)",V7,A,D#,E,23.0,8.0
185,F#,B,5,E,"(3, 6, 9, 11)",V7,A,D#,E,23.125,8.0
186,F#,B,5,E,"(3, 6, 9, 11)",V7,A,D#,E,23.25,8.0
187,F#,B,5,E,"(3, 6, 9, 11)",V7,A,D#,E,23.375,8.0
188,F#,B,5,E,"(3, 6, 9, 11)",V7,A,D#,E,23.5,8.0
189,F#,B,5,E,"(3, 6, 9, 11)",V7,A,D#,E,23.625,8.0
190,F#,B,5,E,"(3, 6, 9, 11)",V7,A,D#,E,23.75,8.0
191,F#,B,5,E,"(3, 6, 9, 11)",V7,A,D#,E,23.875,8.0
192,B,E,0,E,"(2, 4, 8, 11)",V7,D,G#,A,24.0,9.0
193,B,E,1,E,"(2, 4, 8, 11)",V7,D,G#,A,24.125,9.0
194,B,E,2,E,"(2, 4, 8, 11)",V7,D,G#,A,24.25,9.0
195,B,E,2,E,"(2, 4, 8, 11)",V7,D,G#,A,24.375,9.0
196,B,E,3,E,"(2, 4, 8, 11)",V7,D,G#,A,24.5,9.0
197,B,E,3,E,"(2, 4, 8, 11)",V7,D,G#,A,24.625,9.0
198,B,E,3,E,"(2, 4, 8, 11)",V7,D,G#,A,24.75,9.0
199,B,E,3,E,"(2, 4, 8, 11)",V7,D,G#,A,24.875,9.0
200,B,E,4,E,"(2, 4, 8, 11)",V7,D,G#,A,25.0,9.0
201,B,E,4,E,"(2, 4, 8, 11)",V7,D,G#,A,25.125,9.0
202,B,E,4,E,"(2, 4, 8, 11)",V7,D,G#,A,25.25,9.0
203,B,E,4,E,"(2, 4, 8, 11)",V7,D,G#,A,25.375,9.0
204,B,E,4,E,"(2, 4, 8, 11)",V7,D,G#,A,25.5,9.0
205,B,E,4,E,"(2, 4, 8, 11)",V7,D,G#,A,25.625,9.0
206,B,E,4,E,"(2, 4, 8, 11)",V7,D,G#,A,25.75,9.0
207,B,E,4,E,"(2, 4, 8, 11)",V7,D,G#,A,25.875,9.0
208,B,E,5,E,"(2, 4, 8, 11)",V7,D,G#,A,26.0,9.0
209,B,E,5,E,"(2, 4, 8, 11)",V7,D,G#,A,26.125,9.0
210,B,E,5,E,"(2, 4, 8, 11)",V7,D,G#,A,26.25,9.0
211,B,E,5,E,"(2, 4, 8, 11)",V7,D,G#,A,26.375,9.0
212,B,E,5,E,"(2, 4, 8, 11)",V7,D,G#,A,26.5,9.0
213,B,E,5,E,"(2, 4, 8, 11)",V7,D,G#,A,26.625,9.0
214,B,E,5,E,"(2, 4, 8, 11)",V7,D,G#,A,26.75,9.0
215,B,E,5,E,"(2, 4, 8, 11)",V7,D,G#,A,26.875,9.0
216,C#,E,0,E,"(1, 4, 9)",I,A,A,E,27.0,10.0
217,C#,E,1,E,"(1, 4, 9)",I,A,A,E,27.125,10.0
218,C#,E,2,E,"(1, 4, 9)",I,A,A,E,27.25,10.0
219,C#,E,2,E,"(1, 4, 9)",I,A,A,E,27.375,10.0
220,C#,E,3,E,"(1, 4, 9)",I,A,A,E,27.5,10.0
221,C#,E,3,E,"(1, 4, 9)",I,A,A,E,27.625,10.0
222,C#,E,3,E,"(1, 4, 9)",I,A,A,E,27.75,10.0
223,C#,E,3,E,"(1, 4, 9)",I,A,A,E,27.875,10.0
224,C#,E,4,E,"(1, 4, 9)",I,A,A,E,28.0,10.0
225,C#,E,4,E,"(1, 4, 9)",I,A,A,E,28.125,10.0
226,C#,E,4,E,"(1, 4, 9)",I,A,A,E,28.25,10.0
227,C#,E,4,E,"(1, 4, 9)",I,A,A,E,28.375,10.0
228,F#,F#,0,E,"(3, 6, 9, 11)",V7,A,A,E,28.5,10.0
229,F#,F#,1,E,"(3, 6, 9, 11)",V7,A,A,E,28.625,10.0
230,F#,F#,2,E,"(3, 6, 9, 11)",V7,A,A,E,28.75,10.0
231,F#,F#,2,E,"(3, 6, 9, 11)",V7,A,A,E,28.875,10.0
232,F#,F#,3,E,"(3, 6, 9, 11)",V7,A,A,E,29.0,10.0
233,F#,F#,3,E,"(3, 6, 9, 11)",V7,A,A,E,29.125,10.0
234,F#,F#,3,E,"(3, 6, 9, 11)",V7,A,A,E,29.25,10.0
235,F#,F#,3,E,"(3, 6, 9, 11)",V7,A,A,E,29.375,10.0
236,F#,F#,4,E,"(3, 6, 9, 11)",V7,A,A,E,29.5,10.0
237,F#,F#,4,E,"(3, 6, 9, 11)",V7,A,A,E,29.625,10.0
238,F#,F#,4,E,"(3, 6, 9, 11)",V7,A,A,E,29.75,10.0
239,F#,F#,4,E,"(3, 6, 9, 11)",V7,A,A,E,29.875,10.0
240,B,E,0,E,"(2, 4, 8, 11)",V7,D,G#,A,30.0,11.0
241,B,E,1,E,"(2, 4, 8, 11)",V7,D,G#,A,30.125,11.0
242,B,E,2,E,"(2, 4, 8, 11)",V7,D,G#,A,30.25,11.0
243,B,E,2,E,"(2, 4, 8, 11)",V7,D,G#,A,30.375,11.0
244,B,E,3,E,"(2, 4, 8, 11)",V7,D,G#,A,30.5,11.0
245,B,E,3,E,"(2, 4, 8, 11)",V7,D,G#,A,30.625,11.0
246,B,E,3,E,"(2, 4, 8, 11)",V7,D,G#,A,30.75,11.0
247,B,E,3,E,"(2, 4, 8, 11)",V7,D,G#,A,30.875,11.0
248,B,E,4,E,"(2, 4, 8, 11)",V7,D,G#,A,31.0,11.0
249,B,E,4,E,"(2, 4, 8, 11)",V7,D,G#,A,31.125,11.0
250,B,E,4,E,"(2, 4, 8, 11)",V7,D,G#,A,31.25,11.0
251,B,E,4,E,"(2, 4, 8, 11)",V7,D,G#,A,31.375,11.0
252,B,E,4,E,"(2, 4, 8, 11)",V7,D,G#,A,31.5,11.0
253,B,E,4,E,"(2, 4, 8, 11)",V7,D,G#,A,31.625,11.0
254,B,E,4,E,"(2, 4, 8, 11)",V7,D,G#,A,31.75,11.0
255,B,E,4,E,"(2, 4, 8, 11)",V7,D,G#,A,31.875,11.0
256,B,E,5,E,"(2, 4, 8, 11)",V7,D,G#,A,32.0,11.0
257,B,E,5,E,"(2, 4, 8, 11)",V7,D,G#,A,32.125,11.0
258,B,E,0,E,"(2, 4, 8, 11)",V7,D,G#,A,32.25,11.0
259,B,E,5,E,"(2, 4, 8, 11)",V7,D,G#,A,32.375,11.0
260,B,E,0,E,"(2, 4, 8, 11)",V7,D,G#,A,32.5,11.0
261,B,E,1,E,"(2, 4, 8, 11)",V7,D,G#,A,32.625,11.0
262,B,E,2,E,"(2, 4, 8, 11)",V7,D,G#,A,32.75,11.0
263,B,E,2,E,"(2, 4, 8, 11)",V7,D,G#,A,32.875,11.0
264,E,A,0,E,"(1, 4, 9)",IV,A,C#,A,33.0,12.0
265,E,A,1,E,"(1, 4, 9)",IV,A,C#,A,33.125,12.0
266,E,A,2,E,"(1, 4, 9)",IV,A,C#,A,33.25,12.0
267,E,A,2,E,"(1, 4, 9)",IV,A,C#,A,33.375,12.0
268,E,A,3,E,"(1, 4, 9)",IV,A,C#,A,33.5,12.0
269,E,A,3,E,"(1, 4, 9)",IV,A,C#,E,33.625,12.0
270,E,A,3,E,"(1, 4, 9)",IV,A,C#,E,33.75,12.0
271,E,A,3,E,"(1, 4, 9)",IV,A,C#,E,33.875,12.0
272,E,A,4,E,"(1, 4, 9)",IV,A,C#,E,34.0,12.0
273,E,A,4,E,"(1, 4, 9)",IV,A,C#,E,34.125,12.0
274,E,A,4,E,"(1, 4, 9)",IV,A,C#,E,34.25,12.0
275,E,A,4,E,"(1, 4, 9)",IV,A,C#,E,34.375,12.0
276,F#,B,0,E,"(3, 6, 9, 11)",V7,A,D#,E,34.5,12.0
277,F#,B,1,E,"(3, 6, 9, 11)",V7,A,D#,E,34.625,12.0
278,F#,B,2,E,"(3, 6, 9, 11)",V7,A,D#,E,34.75,12.0
279,F#,B,2,E,"(3, 6, 9, 11)",V7,A,D#,E,34.875,12.0
280,F#,B,3,E,"(3, 6, 9, 11)",V7,A,D#,E,35.0,12.0
281,F#,B,3,E,"(3, 6, 9, 11)",V7,A,D#,E,35.125,12.0
282,F#,B,3,E,"(3, 6, 9, 11)",V7,A,D#,E,35.25,12.0
283,F#,B,3,E,"(3, 6, 9, 11)",V7,A,D#,E,35.375,12.0
284,F#,B,4,E,"(3, 6, 9, 11)",V7,A,D#,E,35.5,12.0
285,F#,B,4,E,"(3, 6, 9, 11)",V7,A,D#,E,35.625,12.0
286,F#,B,4,E,"(3, 6, 9, 11)",V7,A,D#,E,35.75,12.0
