,Alto35,Bass35,HarmonicRhythm7,LocalKey38,PitchClassSet121,RomanNumeral31,Soprano35,Tenor35,TonicizedKey38,offset,measure
0,E,A,0,a,"(0, 4, 9)",i,A,C,a,0.0,1.0
1,E,A,1,a,"(0, 4, 9)",i,A,C,a,0.125,1.0
2,E,A,2,a,"(0, 4, 9)",i,A,C,a,0.25,1.0
3,E,A,2,a,"(0, 4, 9)",i,A,C,a,0.375,1.0
4,E,A,3,a,"(0, 4, 9)",i,A,C,a,0.5,1.0
5,E,A,3,a,"(0, 4, 9)",i,A,C,a,0.625,1.0
6,E,A,3,a,"(0, 4, 9)",i,A,C,a,0.75,1.0
7,E,A,3,a,"(0, 4, 9)",i,A,C,a,0.875,1.0
8,E,A,4,a,"(0, 4, 9)",i,A,C,a,1.0,1.0
9,E,A,4,a,"(0, 4, 9)",i,A,C,a,1.125,1.0
10,E,A,4,a,"(0, 4, 9)",i,A,C,a,1.25,1.0
11,E,A,4,a,"(0, 4, 9)",i,A,C,a,1.375,1.0
12,E,A,0,a,"(0, 4, 9)",i,A,C,a,1.5,2.0
13,E,A,1,a,"(0, 4, 9)",i,A,C,a,1.625,2.0
14,E,A,2,a,"(0, 4, 9)",i,A,C,a,1.75,2.0
15,E,A,2,a,"(0, 4, 9)",i,A,C,a,1.875,2.0
16,E,A,3,a,"(0, 4, 9)",i,A,C,a,2.0,2.0
17,E,A,3,a,"(0, 4, 9)",i,A,C,a,2.125,2.0
18,E,A,3,a,"(0, 4, 9)",i,A,C,a,2.25,2.0
19,E,A,3,a,"(0, 4, 9)",i,A,C,a,2.375,2.0
20,E,A,4,a,"(0, 4, 9)",i,A,C,a,2.5,2.0
21,E,A,4,a,"(0, 4, 9)",i,A,C,a,2.625,2.0
22,E,A,4,a,"(0, 4, 9)",i,A,C,a,2.75,2.0
23,E,A,4,a,"(0, 4, 9)",i,A,C,a,2.875,2.0
24,E,A,0,a,"(0, 4, 9)",i,A,C,a,3.0,3.0
25,E,A,1,a,"(0, 4, 9)",i,A,C,a,3.125,3.0
26,E,A,2,a,"(0, 4, 9)",i,A,C,a,3.25,3.0
27,E,A,2,a,"(0, 4, 9)",i,A,C,a,3.375,3.0
28,E,A,3,a,"(0, 4, 9)",i,A,C,a,3.5,3.0
29,E,A,3,a,"(0, 4, 9)",i,A,C,a,3.625,3.0
30,E,A,3,a,"(0, 4, 9)",i,A,C,a,3.75,3.0
31,E,A,3,a,"(0, 4, 9)",i,A,C,a,3.875,3.0
32,E,A,4,a,"(0, 4, 9)",i,A,C,a,4.0,3.0
33,E,A,4,a,"(0, 4, 9)",i,A,C,a,4.125,3.0
34,E,A,4,a,"(0, 4, 9)",i,A,C,a,4.25,3.0
35,E,A,4,a,"(0, 4, 9)",i,A,C,a,4.375,3.0
36,E,A,0,a,"(0, 4, 9)",i,D,C,a,4.5,4.0
37,E,A,1,a,"(0, 4, 9)",i,D,C,a,4.625,4.0
38,E,A,2,a,"(0, 4, 9)",i,D,C,a,4.75,4.0
39,E,A,2,a,"(0, 4, 9)",i,D,C,a,4.875,4.0
40,E,A,3,a,"(0, 4, 9)",i,A,C,a,5.0,4.0
41,E,A,3,a,"(0, 4, 9)",i,A,C,a,5.125,4.0
42,E,A,3,a,"(0, 4, 9)",i,A,C,a,5.25,4.0
43,E,A,3,a,"(0, 4, 9)",i,A,C,a,5.375,4.0
44,E,E,0,a,"(2, 4, 8, 11)",V7,E,G#,a,5.5,4.0
45,B,E,1,a,"(2, 4, 8, 11)",V7,E,G#,a,5.625,4.0
46,B,E,2,a,"(2, 4, 8, 11)",V7,E,G#,a,5.75,4.0
47,B,E,2,a,"(2, 4, 8, 11)",V7,E,G#,a,5.875,4.0
48,E,A,0,a,"(0, 4, 9)",i,A,C,a,6.0,5.0
49,E,A,1,a,"(0, 4, 9)",i,A,C,a,6.125,5.0
50,E,A,2,a,"(0, 4, 9)",i,A,C,a,6.25,5.0
51,E,A,2,a,"(0, 4, 9)",i,A,C,a,6.375,5.0
52,E,A,3,a,"(0, 4, 9)",i,A,C,a,6.5,5.0
53,E,A,3,a,"(0, 4, 9)",i,A,C,a,6.625,5.0
54,E,A,3,a,"(0, 4, 9)",i,A,C,a,6.75,5.0
55,E,A,3,a,"(0, 4, 9)",i,A,C,a,6.875,5.0
56,D#,A,4,a,"(0, 4, 9)",V7,A,C,a,7.0,5.0
57,D#,A,4,a,"(0, 4, 9)",V7,A,C,a,7.125,5.0
