,Alto35,Bass35,HarmonicRhythm7,LocalKey38,PitchClassSet121,RomanNumeral31,Soprano35,Tenor35,TonicizedKey38,offset,measure
0,B,E,0,a,"(4, 8, 11)",I,E,G#,a,0.0,0.0
1,B,E,1,a,"(4, 8, 11)",I,E,G#,a,0.125,0.0
2,B,E,2,a,"(4, 8, 11)",I,E,G#,a,0.25,0.0
3,B,E,2,a,"(4, 8, 11)",I,E,G#,a,0.375,0.0
4,B,G#,0,a,"(4, 8, 11)",V,E,G#,a,0.5,1.0
5,E,G#,1,a,"(4, 8, 11)",V,E,G#,a,0.625,1.0
6,E,G#,2,a,"(4, 8, 11)",V,E,G#,a,0.75,1.0
7,E,G#,2,a,"(4, 8, 11)",V,E,G#,a,0.875,1.0
8,B,G#,3,a,"(4, 8, 11)",V,E,G#,a,1.0,1.0
9,B,G#,3,a,"(4, 8, 11)",V,E,G#,a,1.125,1.0
10,B,G#,3,a,"(4, 8, 11)",V,E,G#,a,1.25,1.0
11,B,G#,3,a,"(4, 8, 11)",V,E,G#,a,1.375,1.0
12,B,G#,4,a,"(4, 8, 11)",V,E,G#,a,1.5,1.0
13,B,G#,4,a,"(4, 8, 11)",V,E,G#,a,1.625,1.0
14,B,G#,4,a,"(4, 8, 11)",V,E,G#,a,1.75,1.0
15,B,G#,4,a,"(4, 8, 11)",V,E,G#,a,1.875,1.0
16,B,G#,4,a,"(4, 8, 11)",V7,E,G#,a,2.0,1.0
17,B,G#,4,a,"(4, 8, 11)",V7,E,G#,a,2.125,1.0
18,B,G#,4,a,"(4, 8, 11)",V7,E,G#,a,2.25,1.0
19,B,G#,4,a,"(4, 8, 11)",V7,E,G#,a,2.375,1.0
20,B,G#,5,a,"(2, 4, 8, 11)",V7,E,G#,a,2.5,1.0
21,B,G#,5,a,"(2, 4, 8, 11)",V7,E,G#,a,2.625,1.0
22,B,G#,5,a,"(2, 4, 8, 11)",V7,E,G#,a,2.75,1.0
23,B,G#,5,a,"(2, 4, 8, 11)",V7,E,G#,a,2.875,1.0
24,B,G#,5,a,"(2, 4, 8, 11)",V7,E,G#,a,3.0,1.0
25,B,G#,5,a,"(2, 4, 8, 11)",V7,E,G#,a,3.125,1.0
26,B,G#,5,a,"(2, 4, 8, 11)",V7,E,G#,a,3.25,1.0
27,B,G#,5,a,"(2, 4, 8, 11)",V7,E,G#,a,3.375,1.0
28,B,E,0,a,"(2, 4, 8, 11)",V7,D,G#,a,3.5,2.0
