,Alto35,Bass35,HarmonicRhythm7,LocalKey38,PitchClassSet121,RomanNumeral31,Soprano35,Tenor35,TonicizedKey38,offset,measure
0,E-,A-,0,A-,"(0, 3, 8)",i,A-,C,A-,0.0,1.0
1,E-,A-,1,A-,"(0, 3, 8)",i,A-,C,A-,0.125,1.0
2,E-,A-,2,A-,"(0, 3, 8)",i,A-,C,A-,0.25,1.0
3,E-,A-,2,A-,"(0, 3, 8)",I,A-,C,A-,0.375,1.0
4,E-,A-,3,A-,"(0, 3, 8)",I,A-,C,A-,0.5,1.0
5,E-,A-,3,A-,"(0, 3, 8)",I,A-,C,A-,0.625,1.0
6,E-,A-,3,A-,"(0, 3, 8)",I,A-,C,A-,0.75,1.0
7,E-,A-,3,A-,"(0, 3, 8)",I,A-,C,A-,0.875,1.0
8,E-,A-,4,A-,"(0, 3, 8)",I,A-,C,A-,1.0,1.0
9,E-,A-,4,A-,"(0, 3, 8)",I,A-,C,A-,1.125,1.0
10,E-,A-,4,A-,"(0, 3, 8)",I,A-,C,A-,1.25,1.0
11,E-,A-,4,A-,"(0, 3, 8)",I,A-,C,A-,1.375,1.0
12,E-,A-,4,A-,"(0, 3, 8)",I,A-,C,A-,1.5,1.0
13,E-,A-,4,A-,"(0, 3, 8)",I,A-,C,A-,1.625,1.0
14,E-,A-,4,A-,"(0, 3, 8)",I,A-,C,A-,1.75,1.0
15,E-,A-,4,A-,"(0, 3, 8)",I,A-,C,A-,1.875,1.0
16,E-,A-,5,A-,"(0, 3, 8)",I,A-,B-,A-,2.0,1.0
17,E-,A-,5,A-,"(0, 3, 8)",I,A-,B-,A-,2.125,1.0
18,E-,A-,5,A-,"(0, 3, 8)",I,A-,B-,A-,2.25,1.0
19,E-,A-,5,A-,"(0, 3, 8)",I,A-,B-,A-,2.375,1.0
20,E-,A-,5,A-,"(0, 3, 8)",I,A-,B-,A-,2.5,1.0
21,E-,A-,5,A-,"(0, 3, 8)",I,A-,B-,A-,2.625,1.0
22,E-,A-,5,A-,"(0, 3, 8)",I,A-,B-,A-,2.75,1.0
23,E-,A-,5,A-,"(0, 3, 8)",I,A-,B-,A-,2.875,1.0
24,E-,A-,5,A-,"(0, 3, 8)",I,A-,C,A-,3.0,1.0
25,E-,A-,1,A-,"(0, 3, 8)",I,A-,C,A-,3.125,1.0
26,E-,A-,5,A-,"(0, 3, 8)",I,A-,C,A-,3.25,1.0
27,E-,A-,5,A-,"(0, 3, 8)",I,A-,C,A-,3.375,1.0
28,E-,A-,5,A-,"(0, 3, 8)",I,A-,C,A-,3.5,1.0
29,E-,A-,5,A-,"(0, 3, 8)",I,A-,C,A-,3.625,1.0
30,E-,A-,5,A-,"(0, 3, 8)",I,A-,C,A-,3.75,1.0
31,E-,A-,5,A-,"(0, 3, 8)",I,A-,C,A-,3.875,1.0
32,D-,A-,0,A-,"(0, 3, 8)",I,D-,B-,A-,4.0,2.0
33,E-,A-,1,A-,"(0, 3, 8)",I,D-,B-,A-,4.125,2.0
34,D-,A-,2,A-,"(0, 3, 8)",I,D-,B-,A-,4.25,2.0
35,D-,A-,2,A-,"(0, 3, 8)",I,D-,B-,A-,4.375,2.0
36,E-,A-,3,A-,"(0, 3, 8)",I,D-,D-,A-,4.5,2.0
37,E-,A-,3,A-,"(0, 3, 8)",I,D-,D-,A-,4.625,2.0
38,E-,A-,3,A-,"(0, 3, 8)",I,D-,D-,A-,4.75,2.0
39,E-,A-,3,A-,"(0, 3, 8)",I,D-,D-,A-,4.875,2.0
40,E-,A-,4,A-,"(1, 3, 7, 10)",I,D-,B-,A-,5.0,2.0
41,E-,A-,4,A-,"(1, 3, 7, 10)",I,D-,B-,A-,5.125,2.0
42,E-,A-,4,A-,"(1, 3, 7, 10)",I,D-,B-,A-,5.25,2.0
43,E-,A-,4,A-,"(1, 3, 7, 10)",I,D-,B-,A-,5.375,2.0
44,E-,A-,4,A-,"(1, 3, 7, 10)",I,D-,B-,A-,5.5,2.0
45,E-,A-,4,A-,"(1, 3, 7, 10)",I,D-,B-,A-,5.625,2.0
46,E-,G,4,A-,"(1, 3, 7, 10)",I,D-,B-,A-,5.75,2.0
47,E-,G,4,A-,"(1, 3, 7, 10)",I,D-,B-,A-,5.875,2.0
48,E-,A-,0,A-,"(0, 3, 8)",I,A-,C,A-,6.0,2.0
49,E-,A-,1,A-,"(0, 3, 8)",I,A-,C,A-,6.125,2.0
50,E-,A-,2,A-,"(0, 3, 8)",I,A-,C,A-,6.25,2.0
51,E-,A-,2,A-,"(0, 3, 8)",I,A-,C,A-,6.375,2.0
52,E-,A-,3,A-,"(0, 3, 8)",I,A-,C,A-,6.5,2.0
53,E-,A-,3,A-,"(0, 3, 8)",I,A-,C,A-,6.625,2.0
54,E-,A-,3,A-,"(0, 3, 8)",I,A-,C,A-,6.75,2.0
55,E-,A-,3,A-,"(0, 3, 8)",I,A-,C,A-,6.875,2.0
56,E-,A-,4,A-,"(0, 3, 8)",I,A-,C,A-,7.0,2.0
57,E-,A-,4,A-,"(0, 3, 8)",I,A-,C,A-,7.125,2.0
58,E-,A-,4,A-,"(0, 3, 8)",I,A-,C,A-,7.25,2.0
59,E-,A-,4,A-,"(0, 3, 8)",I,A-,C,A-,7.375,2.0
60,E-,A-,4,A-,"(0, 3, 8)",I,A-,C,A-,7.5,2.0
61,E-,A-,4,A-,"(0, 3, 8)",I,A-,C,A-,7.625,2.0
62,E-,A-,4,A-,"(0, 3, 8)",I,A-,C,A-,7.75,2.0
63,E-,A-,4,A-,"(0, 3, 8)",I,A-,C,A-,7.875,2.0
64,D-,F,0,A-,"(1, 5, 10)",ii,D-,A-,A-,8.0,3.0
65,D-,F,1,A-,"(1, 5, 10)",ii,D-,A-,A-,8.125,3.0
66,D-,F,2,A-,"(1, 5, 10)",ii,D-,A-,A-,8.25,3.0
67,D-,F,2,A-,"(1, 5, 10)",ii,D-,A-,A-,8.375,3.0
68,D-,F,3,A-,"(1, 5, 10)",ii,D-,A-,A-,8.5,3.0
69,D-,F,3,A-,"(1, 5, 10)",ii,D-,A-,A-,8.625,3.0
70,D-,F,3,A-,"(1, 5, 10)",ii,D-,A-,A-,8.75,3.0
71,D-,F,3,A-,"(1, 5, 10)",ii,D-,A-,A-,8.875,3.0
72,D-,F,4,A-,"(1, 5, 8)",ii,D-,A-,A-,9.0,3.0
73,D-,F,4,A-,"(1, 5, 8)",IV,D-,A-,A-,9.125,3.0
74,D-,F,4,A-,"(1, 5, 8)",IV,D-,A-,A-,9.25,3.0
75,D-,F,4,A-,"(1, 5, 8)",IV,D-,A-,A-,9.375,3.0
76,D-,F,4,A-,"(1, 5, 8)",IV,D-,A-,A-,9.5,3.0
77,D-,F,4,A-,"(1, 5, 8)",IV,D-,A-,A-,9.625,3.0
78,D-,F,4,A-,"(1, 5, 8)",IV,D-,A-,A-,9.75,3.0
79,D-,F,4,A-,"(1, 5, 8)",IV,D-,A-,A-,9.875,3.0
80,D-,F,5,A-,"(1, 5, 8)",IV,D-,A-,A-,10.0,3.0
81,D-,F,5,A-,"(1, 5, 8)",IV,D-,A-,A-,10.125,3.0
82,D-,F,5,A-,"(1, 5, 8)",IV,D-,A-,A-,10.25,3.0
83,D-,F,5,A-,"(1, 5, 8)",IV,D-,A-,A-,10.375,3.0
84,D-,F,5,A-,"(1, 5, 8)",IV,D-,A-,A-,10.5,3.0
85,D-,F,5,A-,"(1, 5, 8)",IV,D-,A-,A-,10.625,3.0
86,D-,F,5,A-,"(1, 5, 8)",IV,D-,A-,A-,10.75,3.0
87,D-,F,5,A-,"(1, 5, 8)",IV,D-,A-,A-,10.875,3.0
88,D-,F,5,A-,"(1, 5, 8)",IV,D-,A-,A-,11.0,3.0
89,D-,F,5,A-,"(1, 5, 8)",IV,D-,A-,A-,11.125,3.0
90,D-,F,5,A-,"(1, 5, 8)",IV,D-,A-,A-,11.25,3.0
91,D-,F,5,A-,"(1, 5, 8)",IV,D-,A-,A-,11.375,3.0
92,D-,F,5,A-,"(1, 5, 8)",IV,D-,A-,A-,11.5,3.0
93,D-,F,5,A-,"(1, 5, 8)",IV,D-,A-,A-,11.625,3.0
94,D-,F,5,A-,"(1, 5, 8)",IV,D-,A-,A-,11.75,3.0
95,D-,F,5,A-,"(1, 5, 8)",IV,D-,A-,A-,11.875,3.0
96,B-,E-,0,A-,"(1, 3, 7, 10)",V7,D-,G,A-,12.0,4.0
97,B-,E-,1,A-,"(1, 3, 7, 10)",V7,D-,G,A-,12.125,4.0
98,B-,E-,2,A-,"(1, 3, 7, 10)",V7,D-,G,A-,12.25,4.0
99,B-,E-,2,A-,"(1, 3, 7, 10)",V7,D-,G,A-,12.375,4.0
100,B-,E-,3,A-,"(1, 3, 7, 10)",V7,D-,G,A-,12.5,4.0
101,B-,E-,3,A-,"(1, 3, 7, 10)",V7,D-,G,A-,12.625,4.0
102,B-,E-,3,A-,"(1, 3, 7, 10)",V7,D-,G,A-,12.75,4.0
103,B-,E-,3,A-,"(1, 3, 7, 10)",V7,D-,G,A-,12.875,4.0
104,B-,E-,4,A-,"(1, 3, 7, 10)",V7,D-,G,A-,13.0,4.0
105,B-,E-,4,A-,"(1, 3, 7, 10)",V7,D-,G,A-,13.125,4.0
106,B-,E-,4,A-,"(1, 3, 7, 10)",V7,D-,G,A-,13.25,4.0
107,B-,E-,4,A-,"(1, 3, 7, 10)",V7,D-,G,A-,13.375,4.0
108,B-,E-,4,A-,"(1, 3, 7, 10)",V7,D-,G,A-,13.5,4.0
109,B-,E-,4,A-,"(1, 3, 7, 10)",V7,D-,G,A-,13.625,4.0
110,B-,E-,4,A-,"(1, 3, 7, 10)",V7,D-,G,A-,13.75,4.0
111,B-,E-,4,A-,"(1, 3, 7, 10)",V7,D-,G,A-,13.875,4.0
112,C,E-,0,A-,"(0, 3, 8)",I,A-,G,A-,14.0,4.0
113,C,E-,1,A-,"(0, 3, 8)",I,A-,G,A-,14.125,4.0
114,C,E-,2,A-,"(0, 3, 8)",I,A-,G,A-,14.25,4.0
115,C,E-,2,A-,"(0, 3, 8)",I,A-,G,A-,14.375,4.0
116,C,E-,3,A-,"(0, 3, 8)",I,A-,G,A-,14.5,4.0
117,C,E-,3,A-,"(0, 3, 8)",I,A-,G,A-,14.625,4.0
118,C,E-,3,A-,"(0, 3, 8)",I,A-,G,A-,14.75,4.0
119,C,E-,3,A-,"(0, 3, 8)",I,A-,G,A-,14.875,4.0
120,B-,E-,0,A-,"(1, 3, 7, 10)",V7,D-,G,A-,15.0,4.0
121,B-,E-,1,A-,"(1, 3, 7, 10)",V7,D-,G,A-,15.125,4.0
122,B-,E-,2,A-,"(1, 3, 7, 10)",V7,D-,G,A-,15.25,4.0
123,B-,E-,2,A-,"(1, 3, 7, 10)",V7,D-,G,A-,15.375,4.0
124,B-,E-,3,A-,"(1, 3, 7, 10)",V7,D-,G,A-,15.5,4.0
125,B-,E-,3,A-,"(1, 3, 7, 10)",V7,D-,G,A-,15.625,4.0
126,B-,E-,3,A-,"(1, 3, 7, 10)",V7,D-,G,A-,15.75,4.0
127,B-,E-,3,A-,"(1, 3, 7, 10)",V7,D-,G,A-,15.875,4.0
128,B-,E-,0,A-,"(1, 3, 7, 10)",V7,D-,G,A-,16.0,5.0
129,B-,E-,1,A-,"(1, 3, 7, 10)",V7,D-,G,A-,16.125,5.0
130,B-,E-,2,A-,"(1, 3, 7, 10)",V7,D-,G,A-,16.25,5.0
131,B-,E-,2,A-,"(1, 3, 7, 10)",V7,D-,G,A-,16.375,5.0
132,B-,E-,3,A-,"(1, 3, 7, 10)",V7,D-,G,A-,16.5,5.0
133,B-,E-,3,A-,"(1, 3, 7, 10)",V7,D-,G,A-,16.625,5.0
134,B-,E-,3,A-,"(1, 3, 7, 10)",V7,D-,G,A-,16.75,5.0
135,B-,E-,3,A-,"(1, 3, 7, 10)",V7,D-,G,A-,16.875,5.0
136,B-,E-,4,A-,"(1, 3, 7, 10)",V7,D-,G,A-,17.0,5.0
137,B-,E-,4,A-,"(1, 3, 7, 10)",V7,D-,G,A-,17.125,5.0
138,B-,E-,4,A-,"(3, 7, 10)",V7,D-,G,A-,17.25,5.0
139,B-,E-,4,A-,"(3, 7, 10)",V7,D-,G,A-,17.375,5.0
140,B-,E-,4,A-,"(1, 3, 7, 10)",V7,D-,G,A-,17.5,5.0
141,B-,E-,4,A-,"(1, 3, 7, 10)",V7,D-,G,A-,17.625,5.0
142,B-,E-,4,A-,"(1, 3, 7, 10)",V7,D-,G,A-,17.75,5.0
143,B-,E-,4,A-,"(1, 3, 7, 10)",V7,D-,G,A-,17.875,5.0
144,B-,E-,0,A-,"(1, 3, 7, 10)",V7,D-,G,A-,18.0,5.0
145,B-,E-,1,A-,"(1, 3, 7, 10)",V7,D-,G,A-,18.125,5.0
146,B-,E-,2,A-,"(1, 3, 7, 10)",V7,D-,G,A-,18.25,5.0
147,B-,E-,2,A-,"(1, 3, 7, 10)",V7,D-,G,A-,18.375,5.0
148,B-,E-,3,A-,"(1, 3, 7, 10)",V7,D-,G,A-,18.5,5.0
149,B-,E-,3,A-,"(1, 3, 7, 10)",V7,D-,G,A-,18.625,5.0
150,B-,E-,3,A-,"(1, 3, 7, 10)",V7,D-,G,A-,18.75,5.0
151,B-,E-,3,A-,"(1, 3, 7, 10)",V7,D-,G,A-,18.875,5.0
152,B-,E-,5,A-,"(1, 3, 7, 10)",V7,D-,G,A-,19.0,5.0
153,B-,E-,5,A-,"(1, 3, 7, 10)",V7,D-,G,A-,19.125,5.0
154,B-,E-,5,A-,"(1, 3, 7, 10)",V7,D-,G,A-,19.25,5.0
155,B-,E-,5,A-,"(1, 3, 7, 10)",V7,D-,G,A-,19.375,5.0
156,B-,E-,5,A-,"(1, 3, 7, 10)",V7,D-,G,A-,19.5,5.0
157,B-,E-,5,A-,"(1, 3, 7, 10)",V7,D-,G,A-,19.625,5.0
158,B-,E-,5,A-,"(1, 3, 7, 10)",V7,D-,G,A-,19.75,5.0
159,B-,E-,5,A-,"(1, 3, 7, 10)",V7,D-,G,A-,19.875,5.0
160,E-,A-,0,A-,"(0, 3, 8)",I,A-,C,A-,20.0,6.0
161,E-,A-,1,A-,"(0, 3, 8)",I,A-,C,A-,20.125,6.0
162,E-,A-,2,A-,"(0, 3, 8)",I,A-,C,A-,20.25,6.0
163,E-,A-,2,A-,"(0, 3, 8)",I,A-,C,A-,20.375,6.0
164,E-,A-,3,A-,"(0, 3, 8)",I,A-,C,A-,20.5,6.0
165,E-,A-,3,A-,"(0, 3, 8)",I,A-,C,A-,20.625,6.0
166,E-,A-,3,A-,"(0, 3, 8)",I,A-,C,A-,20.75,6.0
167,E-,A-,3,A-,"(0, 3, 8)",I,A-,C,A-,20.875,6.0
168,E-,A-,4,A-,"(0, 3, 8)",I,A-,C,A-,21.0,6.0
169,E-,A-,4,A-,"(0, 3, 8)",I,A-,C,A-,21.125,6.0
170,E-,A-,4,A-,"(0, 3, 8)",I,A-,C,A-,21.25,6.0
171,E-,A-,4,A-,"(0, 3, 8)",I,A-,C,A-,21.375,6.0
172,E-,A-,4,A-,"(0, 3, 8)",I,A-,C,A-,21.5,6.0
173,E-,A-,4,A-,"(0, 3, 8)",I,A-,C,A-,21.625,6.0
174,E-,A-,4,A-,"(0, 3, 8)",I,A-,C,A-,21.75,6.0
175,E-,A-,4,A-,"(0, 3, 8)",I,A-,C,A-,21.875,6.0
176,E-,A-,5,A-,"(0, 3, 8)",I,A-,C,A-,22.0,6.0
177,E-,A-,1,A-,"(0, 3, 8)",I,A-,C,A-,22.125,6.0
178,E-,A-,5,A-,"(0, 3, 8)",I,A-,C,A-,22.25,6.0
179,E-,A-,5,A-,"(0, 3, 8)",I,A-,C,A-,22.375,6.0
180,E-,A-,5,A-,"(0, 3, 8)",I,A-,C,A-,22.5,6.0
181,E-,A-,5,A-,"(0, 3, 8)",I,A-,C,A-,22.625,6.0
182,E-,A-,5,A-,"(0, 3, 8)",I,A-,C,A-,22.75,6.0
183,E-,A-,5,A-,"(0, 3, 8)",I,A-,C,A-,22.875,6.0
184,E-,A-,5,A-,"(0, 3, 8)",I,A-,C,A-,23.0,6.0
185,E-,A-,1,A-,"(0, 3, 8)",I,A-,C,A-,23.125,6.0
