,Alto35,Bass35,HarmonicRhythm7,LocalKey38,PitchClassSet121,RomanNumeral31,Soprano35,Tenor35,TonicizedKey38,offset,measure
0,D,G,0,G,"(2, 7, 11)",I,G,B,G,0.0,1.0
1,D,G,1,G,"(2, 7, 11)",I,G,B,G,0.125,1.0
2,D,G,2,G,"(2, 7, 11)",I,G,B,G,0.25,1.0
3,D,G,2,G,"(2, 7, 11)",I,G,B,G,0.375,1.0
4,D,G,3,G,"(2, 7, 11)",I,G,B,G,0.5,1.0
5,D,G,3,G,"(2, 7, 11)",I,G,B,G,0.625,1.0
6,D,G,3,G,"(2, 7, 11)",I,G,B,G,0.75,1.0
7,D,G,3,G,"(2, 7, 11)",I,G,B,G,0.875,1.0
8,D,G,4,G,"(2, 7, 11)",I,G,B,G,1.0,1.0
9,D,G,4,G,"(2, 7, 11)",I,G,B,G,1.125,1.0
10,D,G,4,G,"(2, 7, 11)",I,G,B,G,1.25,1.0
11,D,G,4,G,"(2, 7, 11)",I,G,B,G,1.375,1.0
12,D,G,4,G,"(2, 7, 11)",I,G,B,G,1.5,1.0
13,D,G,4,G,"(2, 7, 11)",I,G,B,G,1.625,1.0
14,D,G,4,G,"(2, 7, 11)",I,G,B,G,1.75,1.0
15,D,G,4,G,"(2, 7, 11)",I,G,B,G,1.875,1.0
16,D,G,5,G,"(2, 7, 11)",I,G,B,G,2.0,1.0
17,D,G,5,G,"(2, 7, 11)",I,G,B,G,2.125,1.0
18,D,G,5,G,"(2, 7, 11)",I,G,B,G,2.25,1.0
19,D,G,5,G,"(2, 7, 11)",I,G,B,G,2.375,1.0
20,D,G,5,G,"(2, 7, 11)",I,G,B,G,2.5,1.0
21,D,G,5,G,"(2, 7, 11)",I,G,B,G,2.625,1.0
22,D,G,5,G,"(2, 7, 11)",I,G,B,G,2.75,1.0
23,D,G,5,G,"(2, 7, 11)",I,G,B,G,2.875,1.0
24,D,G,0,G,"(2, 7, 11)",I,G,B,G,3.0,2.0
25,D,G,1,G,"(2, 7, 11)",I,G,B,G,3.125,2.0
26,D,G,2,G,"(2, 7, 11)",I,G,B,G,3.25,2.0
27,D,G,2,G,"(2, 7, 11)",I,G,B,G,3.375,2.0
28,D,G,3,G,"(2, 7, 11)",I,G,B,G,3.5,2.0
29,D,G,3,G,"(2, 7, 11)",I,G,B,G,3.625,2.0
30,D,G,3,G,"(2, 7, 11)",I,G,B,G,3.75,2.0
31,D,G,3,G,"(2, 7, 11)",I,G,B,G,3.875,2.0
32,D,G,4,G,"(2, 7, 11)",I,G,B,G,4.0,2.0
33,D,G,4,G,"(2, 7, 11)",I,G,B,G,4.125,2.0
