,Alto35,Bass35,HarmonicRhythm7,LocalKey38,PitchClassSet121,RomanNumeral31,Soprano35,Tenor35,TonicizedKey38,offset,measure
0,A-,C,0,A-,"(0, 3, 8)",I,A-,E-,A-,0.0,0.0
1,E-,A-,1,A-,"(0, 3, 8)",I,A-,C,A-,0.125,0.0
2,E-,A-,2,A-,"(0, 3, 8)",I,A-,C,A-,0.25,0.0
3,E-,A-,2,A-,"(0, 3, 8)",I,A-,C,A-,0.375,0.0
4,E-,A-,0,A-,"(0, 3, 8)",I,A-,C,A-,0.5,1.0
5,E-,A-,1,A-,"(0, 3, 8)",I,A-,C,A-,0.625,1.0
6,E-,A-,2,A-,"(0, 3, 8)",I,A-,C,A-,0.75,1.0
7,E-,A-,2,A-,"(0, 3, 8)",I,A-,C,A-,0.875,1.0
8,E-,A-,3,A-,"(0, 3, 8)",I,A-,C,A-,1.0,1.0
9,E-,A-,3,A-,"(0, 3, 8)",I,A-,C,A-,1.125,1.0
10,E-,A-,3,A-,"(0, 3, 8)",I,A-,C,A-,1.25,1.0
11,E-,A-,3,A-,"(0, 3, 8)",I,A-,C,A-,1.375,1.0
12,F,A-,0,A-,"(1, 5, 8, 10)",ii7,D-,D-,A-,1.5,1.0
13,F,A-,1,A-,"(1, 5, 8, 10)",ii7,D-,D-,A-,1.625,1.0
14,F,A-,2,A-,"(1, 5, 8, 10)",ii7,D-,D-,A-,1.75,1.0
15,F,A-,2,A-,"(1, 5, 8, 10)",ii7,D-,D-,A-,1.875,1.0
16,F,A-,3,A-,"(1, 5, 8, 10)",ii7,D-,D-,A-,2.0,1.0
17,F,A-,3,A-,"(1, 5, 8)",ii7,D-,D-,A-,2.125,1.0
18,F,A-,3,A-,"(1, 5, 8)",ii7,D-,D-,A-,2.25,1.0
19,F,A-,3,A-,"(1, 5, 8)",ii7,D-,D-,A-,2.375,1.0
20,F,A-,4,A-,"(1, 5, 8, 10)",ii7,D-,D-,A-,2.5,1.0
21,F,A-,4,A-,"(1, 5, 8, 10)",ii7,D-,D-,A-,2.625,1.0
22,F,A-,4,A-,"(1, 5, 8, 10)",ii7,D-,D-,A-,2.75,1.0
23,F,A-,4,A-,"(1, 5, 8, 10)",ii7,D-,D-,A-,2.875,1.0
24,F,A-,4,A-,"(1, 5, 8, 10)",ii7,D-,D-,A-,3.0,1.0
25,F,A-,4,A-,"(1, 5, 8, 10)",ii7,D-,D-,A-,3.125,1.0
26,F,A-,4,A-,"(1, 5, 8, 10)",ii7,D-,D-,A-,3.25,1.0
27,F,A-,4,A-,"(1, 5, 8, 10)",ii7,D-,D-,A-,3.375,1.0
28,D-,A-,0,A-,"(1, 5, 8, 10)",ii7,D-,D-,A-,3.5,1.0
29,D-,A-,1,A-,"(1, 5, 8, 10)",ii7,D-,D-,A-,3.625,1.0
30,D-,A-,2,A-,"(1, 5, 8, 10)",ii7,D-,D-,A-,3.75,1.0
31,D-,A-,2,A-,"(1, 5, 8, 10)",ii7,D-,D-,A-,3.875,1.0
32,D-,A-,3,A-,"(1, 5, 8, 10)",ii7,D-,D-,A-,4.0,1.0
33,D-,A-,3,A-,"(1, 5, 8, 10)",ii7,D-,D-,A-,4.125,1.0
34,D-,A-,3,A-,"(1, 5, 8, 10)",ii7,D-,D-,A-,4.25,1.0
35,D-,A-,3,A-,"(1, 5, 8, 10)",ii7,D-,D-,A-,4.375,1.0
36,D-,A-,0,A-,"(1, 5, 8, 10)",ii7,D-,B-,A-,4.5,1.0
37,D-,A-,4,A-,"(1, 5, 8, 10)",ii7,D-,B-,A-,4.625,1.0
38,D-,A-,2,A-,"(1, 5, 8, 10)",ii7,D-,B-,A-,4.75,1.0
39,D-,A-,4,A-,"(1, 5, 8, 10)",ii7,D-,B-,A-,4.875,1.0
40,D-,A-,0,A-,"(1, 5, 8, 10)",ii7,D-,B-,A-,5.0,2.0
41,D-,A-,1,A-,"(1, 5, 8, 10)",ii7,D-,B-,A-,5.125,2.0
42,D-,A-,2,A-,"(1, 5, 8, 10)",ii7,D-,B-,A-,5.25,2.0
43,D-,A-,2,A-,"(1, 5, 8, 10)",ii7,D-,B-,A-,5.375,2.0
44,D-,A-,3,A-,"(1, 5, 8, 10)",ii7,D-,B-,A-,5.5,2.0
45,D-,A-,3,A-,"(1, 5, 8, 10)",ii7,D-,B-,A-,5.625,2.0
46,D-,A-,3,A-,"(1, 5, 8, 10)",ii7,D-,B-,A-,5.75,2.0
47,D-,A-,3,A-,"(1, 5, 8, 10)",ii7,D-,B-,A-,5.875,2.0
48,E-,A-,0,A-,"(0, 3, 8)",I,A-,C,A-,6.0,2.0
49,E-,A-,1,A-,"(0, 3, 8)",I,A-,C,A-,6.125,2.0
50,E-,A-,2,A-,"(0, 3, 8)",I,A-,C,A-,6.25,2.0
51,E-,A-,2,A-,"(0, 3, 8)",I,A-,C,A-,6.375,2.0
52,E-,A-,3,A-,"(0, 3, 6, 8)",V7,A-,C,D-,6.5,2.0
53,E-,A-,3,A-,"(0, 3, 6, 8)",V7,A-,C,D-,6.625,2.0
54,E-,A-,3,A-,"(0, 3, 6, 8)",V7,A-,C,D-,6.75,2.0
55,E-,A-,3,A-,"(0, 3, 6, 8)",V7,A-,C,D-,6.875,2.0
56,E-,A-,4,A-,"(0, 3, 6, 8)",V7,G-,C,D-,7.0,2.0
57,E-,A-,4,A-,"(0, 3, 6, 8)",V7,G-,C,D-,7.125,2.0
58,E-,A-,4,A-,"(0, 3, 6, 8)",V7,G-,C,D-,7.25,2.0
59,E-,A-,4,A-,"(0, 3, 6, 8)",V7,G-,C,D-,7.375,2.0
60,E-,A-,5,A-,"(0, 3, 6, 8)",V7,A-,C,D-,7.5,2.0
61,E-,A-,5,A-,"(0, 3, 6, 8)",V7,A-,C,D-,7.625,2.0
62,E-,A-,5,A-,"(0, 3, 6, 8)",V7,A-,C,D-,7.75,2.0
63,E-,A-,5,A-,"(0, 3, 6, 8)",V7,A-,C,D-,7.875,2.0
64,F,A-,0,D-,"(1, 5, 8)",I,D-,D-,D-,8.0,2.0
65,F,A-,1,D-,"(1, 5, 8)",I,D-,D-,D-,8.125,2.0
66,F,A-,2,D-,"(1, 5, 8)",I,D-,D-,D-,8.25,2.0
67,F,A-,2,D-,"(1, 5, 8)",I,D-,D-,D-,8.375,2.0
68,F,A-,3,D-,"(1, 5, 8)",I,D-,D-,D-,8.5,2.0
69,F,A-,3,D-,"(1, 5, 8)",I,D-,D-,D-,8.625,2.0
70,F,A-,3,D-,"(1, 5, 8)",I,D-,D-,D-,8.75,2.0
71,F,A-,3,D-,"(1, 5, 8)",I,D-,D-,D-,8.875,2.0
72,E-,A-,0,A-,"(0, 3, 8)",I,A-,C,D-,9.0,2.0
73,E-,A-,1,A-,"(0, 3, 8)",I,A-,C,D-,9.125,2.0
74,E-,A-,2,A-,"(0, 3, 8)",I,A-,C,D-,9.25,2.0
75,E-,A-,2,A-,"(0, 3, 8)",I,A-,C,D-,9.375,2.0
76,F,A-,0,A-,"(1, 5, 8)",I,D-,D-,D-,9.5,3.0
77,F,A-,1,A-,"(1, 5, 8)",I,D-,D-,D-,9.625,3.0
78,F,A-,2,A-,"(1, 5, 8)",I,D-,D-,D-,9.75,3.0
79,F,A-,2,A-,"(1, 5, 8)",I,D-,D-,D-,9.875,3.0
80,F,A-,3,A-,"(1, 5, 8)",I,D-,D-,D-,10.0,3.0
81,F,A-,3,A-,"(1, 5, 8)",I,D-,D-,D-,10.125,3.0
82,F,A-,3,A-,"(1, 5, 8)",I,D-,D-,D-,10.25,3.0
83,F,A-,3,A-,"(1, 5, 8)",I,D-,D-,D-,10.375,3.0
84,E-,A-,0,A-,"(0, 3, 8)",I,A-,C,D-,10.5,3.0
85,E-,A-,1,A-,"(0, 3, 8)",I,A-,C,D-,10.625,3.0
86,E-,A-,2,A-,"(0, 3, 8)",I,A-,C,D-,10.75,3.0
87,E-,A-,2,A-,"(0, 3, 8)",I,A-,C,D-,10.875,3.0
88,E-,A-,0,A-,"(0, 3, 6, 8)",V7,G-,C,D-,11.0,3.0
89,E-,A-,1,A-,"(0, 3, 6, 8)",V7,G-,C,D-,11.125,3.0
90,E-,A-,2,A-,"(0, 3, 6, 8)",V7,G-,C,D-,11.25,3.0
91,E-,A-,2,A-,"(0, 3, 6, 8)",V7,G-,C,D-,11.375,3.0
92,E-,A-,3,A-,"(0, 3, 6, 8)",V7,G-,C,D-,11.5,3.0
93,E-,A-,3,A-,"(0, 3, 6, 8)",V7,G-,C,D-,11.625,3.0
94,E-,A-,3,A-,"(0, 3, 6, 8)",V7,G-,C,D-,11.75,3.0
95,E-,A-,3,A-,"(0, 3, 6, 8)",V7,G-,C,D-,11.875,3.0
96,E-,A-,4,A-,"(0, 3, 6, 8)",V7,G-,C,D-,12.0,3.0
97,E-,A-,4,A-,"(0, 3, 6, 8)",V7,G-,C,D-,12.125,3.0
98,E-,A-,4,A-,"(0, 3, 6, 8)",V7,G-,C,D-,12.25,3.0
99,E-,A-,4,A-,"(0, 3, 6, 8)",V7,G-,C,D-,12.375,3.0
100,E-,A-,5,A-,"(0, 3, 6, 8)",V7,G-,C,D-,12.5,3.0
101,E-,A-,5,A-,"(0, 3, 6, 8)",V7,A-,C,D-,12.625,3.0
102,E-,A-,5,A-,"(0, 3, 6, 8)",V7,A-,C,D-,12.75,3.0
103,E-,A-,5,A-,"(0, 3, 6, 8)",V7,A-,C,D-,12.875,3.0
104,E-,A-,5,A-,"(0, 3, 6, 8)",V7,A-,C,D-,13.0,3.0
105,E-,A-,5,A-,"(0, 3, 6, 8)",V7,A-,C,D-,13.125,3.0
106,E-,A-,5,A-,"(0, 3, 6, 8)",V7,A-,C,D-,13.25,3.0
107,E-,A-,5,A-,"(0, 3, 6, 8)",V7,A-,C,D-,13.375,3.0
108,E-,A-,5,A-,"(0, 3, 6, 8)",V7,A-,C,D-,13.5,3.0
109,E-,A-,5,A-,"(0, 3, 6, 8)",V7,A-,C,D-,13.625,3.0
110,E-,A-,5,A-,"(0, 3, 6, 8)",V7,A-,C,D-,13.75,3.0
111,E-,A-,5,A-,"(0, 3, 6, 8)",V7,A-,C,D-,13.875,3.0
112,A-,A-,0,A-,"(1, 5, 8)",I,D-,F,D-,14.0,4.0
113,A-,A-,1,A-,"(1, 5, 8)",I,D-,F,A-,14.125,4.0
114,A-,A-,2,A-,"(1, 5, 8)",I,D-,F,A-,14.25,4.0
115,A-,A-,2,A-,"(1, 5, 8)",I,D-,F,A-,14.375,4.0
116,A-,A-,3,A-,"(1, 5, 8)",I,D-,F,A-,14.5,4.0
117,A-,A-,3,A-,"(1, 5, 8)",I,D-,F,A-,14.625,4.0
118,A-,D-,3,A-,"(1, 5, 8)",I,D-,F,A-,14.75,4.0
119,A-,D-,3,A-,"(1, 5, 8)",I,D-,F,A-,14.875,4.0
120,A-,D-,4,A-,"(1, 5, 8)",I,D-,F,D-,15.0,4.0
121,A-,D-,4,A-,"(1, 5, 8)",IV,D-,F,A-,15.125,4.0
122,A-,D-,4,A-,"(1, 5, 8)",IV,D-,F,D-,15.25,4.0
123,A-,D-,4,A-,"(1, 5, 8)",IV,D-,F,D-,15.375,4.0
124,E-,A-,0,A-,"(0, 3, 8)",I7,G,C,A-,15.5,4.0
125,E-,A-,1,A-,"(0, 3, 8)",I7,G,C,A-,15.625,4.0
126,E-,A-,2,A-,"(0, 3, 8)",I7,G,C,A-,15.75,4.0
127,E-,A-,2,A-,"(0, 3, 8)",I7,G,C,A-,15.875,4.0
128,E-,A-,3,A-,"(0, 3, 8)",I7,G,C,A-,16.0,4.0
129,E-,A-,3,A-,"(0, 3, 8)",I7,G,C,A-,16.125,4.0
130,E-,A-,3,A-,"(0, 3, 8)",I7,G,C,A-,16.25,4.0
131,E-,A-,3,A-,"(0, 3, 8)",I7,G,C,A-,16.375,4.0
132,E-,A-,0,A-,"(1, 3, 7, 10)",V7,G,C,A-,16.5,4.0
133,E-,A-,1,A-,"(1, 3, 7, 10)",viio,G,C,A-,16.625,4.0
134,E-,A-,2,A-,"(1, 3, 7, 10)",V7,G,C,A-,16.75,4.0
135,E-,A-,2,A-,"(1, 3, 7, 10)",V7,G,C,A-,16.875,4.0
136,E-,A-,0,A-,"(0, 3, 8)",I,A-,C,A-,17.0,4.0
137,E-,A-,1,A-,"(0, 3, 8)",I,A-,C,A-,17.125,4.0
138,E-,A-,2,A-,"(0, 3, 8)",I,A-,C,A-,17.25,4.0
139,E-,A-,2,A-,"(0, 3, 8)",I,A-,C,A-,17.375,4.0
140,E-,A-,3,A-,"(0, 3, 8)",I,A-,C,A-,17.5,4.0
141,E-,A-,3,A-,"(0, 3, 8)",I,A-,C,A-,17.625,4.0
142,E-,A-,3,A-,"(0, 3, 8)",I,A-,C,A-,17.75,4.0
143,E-,A-,3,A-,"(0, 3, 8)",I,A-,C,A-,17.875,4.0
144,D-,F,0,A-,"(1, 5, 8)",I,D-,A-,D-,18.0,4.0
145,D-,F,1,A-,"(1, 5, 8)",I,D-,A-,D-,18.125,4.0
146,D-,F,2,A-,"(1, 5, 8)",I,D-,A-,D-,18.25,4.0
147,D-,F,2,A-,"(1, 5, 8)",I,D-,A-,D-,18.375,4.0
148,A-,D-,0,A-,"(1, 5, 8)",I,D-,F,D-,18.5,5.0
149,A-,D-,1,A-,"(1, 5, 8)",I,D-,F,D-,18.625,5.0
150,A-,D-,2,A-,"(1, 5, 8)",I,D-,F,D-,18.75,5.0
151,A-,D-,2,A-,"(1, 5, 8)",I,D-,F,D-,18.875,5.0
152,A-,D-,3,A-,"(1, 5, 8)",I,D-,F,D-,19.0,5.0
153,A-,D-,3,A-,"(1, 5, 8)",I,D-,F,D-,19.125,5.0
154,A-,D-,3,A-,"(1, 5, 8)",I,D-,F,D-,19.25,5.0
155,A-,D-,3,A-,"(1, 5, 8)",I,D-,F,D-,19.375,5.0
156,A-,D-,0,A-,"(1, 5, 8)",I,D-,E-,D-,19.5,5.0
157,A-,D-,1,A-,"(1, 5, 8)",I,D-,E-,D-,19.625,5.0
158,A-,D-,2,A-,"(1, 5, 8)",I,D-,E-,D-,19.75,5.0
159,A-,D-,4,A-,"(1, 5, 8)",I,D-,E-,D-,19.875,5.0
160,B-,D-,0,D-,"(1, 6, 10)",IV,G-,G-,D-,20.0,5.0
161,B-,D-,1,D-,"(1, 6, 10)",IV,G-,G-,D-,20.125,5.0
162,B-,D-,2,D-,"(1, 6, 10)",IV,G-,G-,D-,20.25,5.0
163,B-,D-,2,D-,"(1, 6, 10)",IV,G-,G-,D-,20.375,5.0
164,B-,D-,3,D-,"(1, 6, 10)",IV,G-,G-,D-,20.5,5.0
165,B-,D-,3,D-,"(1, 6, 10)",IV,G-,G-,D-,20.625,5.0
166,B-,D-,3,D-,"(1, 6, 10)",IV,G-,G-,D-,20.75,5.0
167,B-,D-,3,D-,"(1, 6, 10)",IV,G-,G-,D-,20.875,5.0
168,B-,D-,4,D-,"(1, 6, 10)",IV,G-,G-,D-,21.0,5.0
169,B-,D-,4,D-,"(1, 6, 10)",IV,G-,G-,D-,21.125,5.0
170,B-,D-,4,D-,"(1, 6, 10)",IV,G-,G-,D-,21.25,5.0
171,B-,D-,4,D-,"(1, 6, 10)",IV,G-,G-,D-,21.375,5.0
172,A-,D-,0,D-,"(1, 5, 8)",IV,D-,F,D-,21.5,5.0
173,A-,D-,1,D-,"(1, 5, 8)",I,D-,F,D-,21.625,5.0
174,A-,D-,2,D-,"(1, 5, 8)",I,D-,F,D-,21.75,5.0
175,A-,D-,2,D-,"(1, 5, 8)",I,D-,F,D-,21.875,5.0
176,A-,D-,3,D-,"(1, 5, 8)",I,D-,F,D-,22.0,5.0
177,A-,D-,3,D-,"(1, 5, 8)",I,D-,F,D-,22.125,5.0
178,A-,D-,3,D-,"(1, 5, 8)",I,D-,F,D-,22.25,5.0
179,A-,D-,3,D-,"(1, 5, 8)",I,D-,F,D-,22.375,5.0
180,A-,D-,4,D-,"(1, 5, 8)",I,D-,F,D-,22.5,5.0
181,A-,D-,4,D-,"(1, 5, 8)",I,D-,F,D-,22.625,5.0
182,A-,D-,4,D-,"(1, 5, 8)",I,D-,F,D-,22.75,5.0
183,A-,D-,4,D-,"(1, 5, 8)",I,D-,F,D-,22.875,5.0
