,Alto35,Bass35,HarmonicRhythm7,LocalKey38,PitchClassSet121,RomanNumeral31,Soprano35,Tenor35,TonicizedKey38,offset,measure
0,B,E,0,E,"(4, 8, 11)",I,E,G#,E,0.0,1.0
1,B,E,1,E,"(4, 8, 11)",I,E,G#,E,0.125,1.0
2,B,E,2,E,"(4, 8, 11)",I,E,G#,E,0.25,1.0
3,B,E,2,E,"(4, 8, 11)",I,E,G#,E,0.375,1.0
4,B,E,3,E,"(4, 8, 11)",I,E,G#,E,0.5,1.0
5,B,E,3,E,"(4, 8, 11)",I,E,G#,E,0.625,1.0
6,B,E,3,E,"(4, 8, 11)",I,E,G#,E,0.75,1.0
7,B,E,3,E,"(4, 8, 11)",I,E,G#,E,0.875,1.0
8,B,E,4,E,"(4, 8, 11)",I,E,G#,E,1.0,1.0
9,B,E,4,E,"(4, 8, 11)",I,E,G#,E,1.125,1.0
10,B,E,4,E,"(4, 8, 11)",I,E,G#,E,1.25,1.0
11,B,E,4,E,"(4, 8, 11)",I,E,G#,E,1.375,1.0
12,B,E,4,E,"(4, 8, 11)",I,E,G#,E,1.5,1.0
13,B,E,4,E,"(4, 8, 11)",I,E,G#,E,1.625,1.0
14,B,E,4,E,"(4, 8, 11)",I,E,G#,E,1.75,1.0
15,B,E,4,E,"(4, 8, 11)",I,E,G#,E,1.875,1.0
16,B,E,5,E,"(4, 8, 11)",I,E,G#,E,2.0,1.0
17,B,E,5,E,"(4, 8, 11)",I,E,G#,E,2.125,1.0
18,B,E,5,E,"(4, 8, 11)",I,E,G#,E,2.25,1.0
19,B,E,5,E,"(4, 8, 11)",I,E,G#,E,2.375,1.0
20,B,E,5,E,"(4, 8, 11)",I,E,G#,E,2.5,1.0
21,B,E,5,E,"(4, 8, 11)",I,E,G#,E,2.625,1.0
22,B,E,5,E,"(4, 8, 11)",I,E,G#,E,2.75,1.0
23,B,E,5,E,"(4, 8, 11)",I,E,G#,E,2.875,1.0
24,B,E,5,E,"(4, 8, 11)",I,E,G#,E,3.0,1.0
25,B,E,5,E,"(4, 8, 11)",I,E,G#,E,3.125,1.0
26,B,E,5,E,"(4, 8, 11)",I,E,G#,E,3.25,1.0
27,B,E,5,E,"(4, 8, 11)",I,E,G#,E,3.375,1.0
28,B,E,5,E,"(4, 8, 11)",I,E,G#,E,3.5,1.0
29,B,E,5,E,"(4, 8, 11)",I,E,G#,E,3.625,1.0
30,B,E,5,E,"(4, 8, 11)",I,E,G#,E,3.75,1.0
31,B,E,5,E,"(4, 8, 11)",I,E,G#,E,3.875,1.0
32,B,B,0,E,"(3, 6, 9, 11)",V7,A,D#,E,4.0,2.0
33,B,B,1,E,"(3, 6, 9, 11)",V,A,D#,E,4.125,2.0
34,F#,B,2,E,"(3, 6, 9, 11)",V7,A,D#,E,4.25,2.0
35,F#,B,2,E,"(3, 6, 9, 11)",V7,A,D#,E,4.375,2.0
36,F#,F#,3,E,"(3, 6, 9, 11)",V7,A,D#,E,4.5,2.0
37,F#,F#,3,E,"(3, 6, 9, 11)",V7,A,D#,E,4.625,2.0
38,F#,F#,3,E,"(3, 6, 9, 11)",V7,A,D#,E,4.75,2.0
39,F#,F#,3,E,"(3, 6, 9, 11)",V7,A,D#,E,4.875,2.0
40,F#,F#,4,E,"(3, 6, 9, 11)",V7,D#,D#,E,5.0,2.0
41,F#,F#,4,E,"(3, 6, 9, 11)",V7,D#,D#,E,5.125,2.0
42,F#,F#,4,E,"(3, 6, 9, 11)",V7,D#,D#,E,5.25,2.0
43,F#,F#,4,E,"(3, 6, 9, 11)",V7,D#,D#,E,5.375,2.0
44,F#,F#,4,E,"(3, 6, 9, 11)",V7,D#,D#,E,5.5,2.0
45,F#,F#,4,E,"(3, 6, 9, 11)",V7,D#,D#,E,5.625,2.0
46,F#,F#,4,E,"(3, 6, 9, 11)",V7,D#,D#,E,5.75,2.0
47,F#,F#,4,E,"(3, 6, 9, 11)",V7,D#,D#,E,5.875,2.0
48,F#,F#,5,E,"(3, 6, 9, 11)",V7,D#,A,E,6.0,2.0
49,F#,F#,5,E,"(3, 6, 9, 11)",V7,D#,A,E,6.125,2.0
50,F#,F#,5,E,"(3, 6, 9, 11)",V7,D#,A,E,6.25,2.0
51,F#,F#,5,E,"(3, 6, 9, 11)",V7,D#,A,E,6.375,2.0
52,F#,F#,5,E,"(3, 6, 9, 11)",V7,D#,A,E,6.5,2.0
53,F#,F#,5,E,"(3, 6, 9, 11)",V7,D#,D#,E,6.625,2.0
54,F#,F#,5,E,"(3, 6, 9, 11)",V7,D#,A,E,6.75,2.0
55,F#,F#,5,E,"(3, 6, 9, 11)",V7,D#,D#,E,6.875,2.0
56,B,F#,5,E,"(3, 6, 9, 11)",V7,D#,A,E,7.0,2.0
57,B,F#,5,E,"(3, 6, 9, 11)",V7,D#,A,E,7.125,2.0
58,B,F#,5,E,"(3, 6, 9, 11)",V7,D#,A,E,7.25,2.0
59,B,F#,5,E,"(3, 6, 9, 11)",V7,D#,A,E,7.375,2.0
60,B,F#,5,E,"(3, 6, 9, 11)",V7,D#,A,E,7.5,2.0
61,B,F#,5,E,"(3, 6, 9, 11)",V7,D#,A,E,7.625,2.0
62,B,F#,5,E,"(3, 6, 9, 11)",V7,D#,A,E,7.75,2.0
63,B,F#,5,E,"(3, 6, 9, 11)",V7,D#,A,E,7.875,2.0
64,B,E,0,E,"(4, 8, 11)",I,E,G#,E,8.0,3.0
65,B,E,1,E,"(4, 8, 11)",I,E,G#,E,8.125,3.0
66,B,E,2,E,"(4, 8, 11)",I,E,G#,E,8.25,3.0
67,B,E,2,E,"(4, 8, 11)",I,E,G#,E,8.375,3.0
68,B,E,3,E,"(4, 8, 11)",I,E,G#,E,8.5,3.0
69,B,E,3,E,"(4, 8, 11)",I,E,G#,E,8.625,3.0
70,B,E,3,E,"(4, 8, 11)",I,E,G#,E,8.75,3.0
71,B,E,3,E,"(4, 8, 11)",I,E,G#,E,8.875,3.0
72,B,E,4,E,"(4, 8, 11)",I,E,G#,E,9.0,3.0
73,B,E,4,E,"(4, 8, 11)",I,E,G#,E,9.125,3.0
74,B,E,4,E,"(4, 8, 11)",I,E,G#,E,9.25,3.0
75,B,E,4,E,"(4, 8, 11)",I,E,G#,E,9.375,3.0
76,B,E,4,E,"(4, 8, 11)",I,E,G#,E,9.5,3.0
77,B,E,4,E,"(4, 8, 11)",I,E,G#,E,9.625,3.0
78,B,E,4,E,"(4, 8, 11)",I,E,G#,E,9.75,3.0
79,B,E,4,E,"(4, 8, 11)",I,E,G#,E,9.875,3.0
80,B,F#,0,E,"(3, 6, 9, 11)",V7,D#,A,E,10.0,3.0
81,B,F#,1,E,"(3, 6, 9, 11)",V7,D#,A,E,10.125,3.0
82,B,F#,2,E,"(3, 6, 9, 11)",V7,D#,A,E,10.25,3.0
83,B,F#,2,E,"(3, 6, 9, 11)",V7,D#,A,E,10.375,3.0
84,B,F#,3,E,"(3, 6, 9, 11)",V7,D#,A,E,10.5,3.0
85,B,F#,3,E,"(3, 6, 9, 11)",V7,D#,A,E,10.625,3.0
86,B,F#,3,E,"(3, 6, 9, 11)",V7,D#,A,E,10.75,3.0
87,B,F#,3,E,"(3, 6, 9, 11)",V7,D#,A,E,10.875,3.0
88,B,F#,4,E,"(3, 6, 9, 11)",V7,D#,A,E,11.0,3.0
89,B,F#,4,E,"(3, 6, 9, 11)",V7,D#,A,E,11.125,3.0
90,B,F#,4,E,"(3, 6, 9, 11)",V7,D#,A,E,11.25,3.0
91,B,F#,4,E,"(3, 6, 9, 11)",V7,D#,A,E,11.375,3.0
92,B,F#,4,E,"(3, 6, 9, 11)",V7,D#,A,E,11.5,3.0
93,B,F#,4,E,"(3, 6, 9, 11)",V7,D#,A,E,11.625,3.0
94,B,F#,4,E,"(3, 6, 9, 11)",V7,D#,A,E,11.75,3.0
95,B,F#,4,E,"(3, 6, 9, 11)",V7,D#,A,E,11.875,3.0
96,B,E,0,E,"(4, 8, 11)",I,E,G#,E,12.0,4.0
97,B,E,1,E,"(4, 8, 11)",I,E,G#,E,12.125,4.0
98,B,E,2,E,"(4, 8, 11)",I,E,G#,E,12.25,4.0
99,B,E,2,E,"(4, 8, 11)",I,E,G#,E,12.375,4.0
100,B,E,3,E,"(4, 8, 11)",I,E,G#,E,12.5,4.0
101,B,E,3,E,"(4, 8, 11)",I,E,G#,E,12.625,4.0
102,B,E,3,E,"(4, 8, 11)",I,E,G#,E,12.75,4.0
103,B,E,3,E,"(4, 8, 11)",I,E,G#,E,12.875,4.0
104,B,E,4,E,"(4, 8, 11)",I,E,G#,E,13.0,4.0
105,B,E,4,E,"(4, 8, 11)",I,E,G#,E,13.125,4.0
106,B,E,4,E,"(4, 8, 11)",I,E,G#,E,13.25,4.0
107,B,E,4,E,"(4, 8, 11)",I,E,G#,E,13.375,4.0
108,B,E,4,E,"(4, 8, 11)",I,E,G#,E,13.5,4.0
109,B,E,4,E,"(4, 8, 11)",I,E,G#,E,13.625,4.0
110,B,E,4,E,"(4, 8, 11)",I,E,G#,E,13.75,4.0
111,B,E,4,E,"(4, 8, 11)",I,E,G#,E,13.875,4.0
112,B,E,5,E,"(4, 8, 11)",I,E,G#,E,14.0,4.0
113,B,E,5,E,"(4, 8, 11)",I,E,G#,E,14.125,4.0
114,B,E,5,E,"(4, 8, 11)",I,E,G#,E,14.25,4.0
115,B,E,5,E,"(4, 8, 11)",I,E,G#,E,14.375,4.0
116,B,E,5,E,"(4, 8, 11)",I,E,G#,E,14.5,4.0
117,B,E,5,E,"(4, 8, 11)",I,E,G#,E,14.625,4.0
118,B,E,5,E,"(4, 8, 11)",I,E,G#,E,14.75,4.0
119,B,E,5,E,"(4, 8, 11)",I,E,G#,E,14.875,4.0
120,B,E,5,E,"(4, 8, 11)",I,E,G#,E,15.0,4.0
121,B,E,5,E,"(4, 8, 11)",I,E,G#,E,15.125,4.0
122,B,E,5,E,"(4, 8, 11)",I,E,G#,E,15.25,4.0
123,B,E,5,E,"(4, 8, 11)",I,E,G#,E,15.375,4.0
124,B,E,5,E,"(4, 8, 11)",I,E,G#,E,15.5,4.0
125,B,E,5,E,"(4, 8, 11)",I,E,G#,E,15.625,4.0
126,B,E,5,E,"(4, 8, 11)",I,E,G#,E,15.75,4.0
127,B,E,5,E,"(4, 8, 11)",I,E,G#,E,15.875,4.0
128,G#,C#,0,E,"(1, 4, 8)",vi,C#,E,c#,16.0,5.0
129,G#,C#,1,E,"(1, 4, 8)",vi,C#,E,c#,16.125,5.0
130,G#,C#,2,E,"(1, 4, 8)",vi,C#,E,c#,16.25,5.0
131,G#,C#,2,E,"(1, 4, 8)",vi,C#,E,c#,16.375,5.0
132,G#,C#,3,E,"(1, 4, 8)",vi,C#,E,c#,16.5,5.0
133,G#,C#,3,E,"(1, 4, 8)",vi,C#,E,c#,16.625,5.0
134,G#,C#,3,E,"(1, 4, 8)",vi,C#,E,c#,16.75,5.0
135,G#,C#,3,E,"(1, 4, 8)",vi,C#,E,c#,16.875,5.0
136,G#,C#,4,c#,"(1, 4, 8)",vi,C#,E,c#,17.0,5.0
137,G#,C#,4,c#,"(1, 4, 8)",vi,C#,E,c#,17.125,5.0
138,G#,C#,4,c#,"(1, 4, 8)",vi,C#,E,c#,17.25,5.0
139,G#,C#,4,c#,"(1, 4, 8)",vi,C#,E,c#,17.375,5.0
140,G#,C#,4,c#,"(1, 4, 8)",vi,C#,E,c#,17.5,5.0
141,G#,C#,4,c#,"(1, 4, 8)",vi,C#,E,c#,17.625,5.0
142,G#,C#,4,c#,"(1, 4, 8)",vi,C#,E,c#,17.75,5.0
143,G#,C#,4,c#,"(1, 4, 8)",vi,C#,E,c#,17.875,5.0
144,D#,G#,0,c#,"(0, 3, 6, 8)",V7,F#,B#,c#,18.0,5.0
145,D#,G#,1,c#,"(0, 3, 6, 8)",V7,F#,B#,c#,18.125,5.0
146,D#,G#,2,c#,"(0, 3, 6, 8)",V7,F#,B#,c#,18.25,5.0
147,D#,G#,2,c#,"(0, 3, 6, 8)",V7,F#,B#,c#,18.375,5.0
148,D#,G#,3,c#,"(0, 3, 6, 8)",V7,F#,B#,c#,18.5,5.0
149,D#,G#,3,c#,"(0, 3, 6, 8)",V7,F#,B#,c#,18.625,5.0
150,D#,G#,3,c#,"(0, 3, 6, 8)",V7,F#,B#,c#,18.75,5.0
151,D#,G#,3,c#,"(0, 3, 6, 8)",V7,F#,B#,c#,18.875,5.0
152,D#,G#,4,c#,"(0, 3, 6, 8)",V7,F#,B#,c#,19.0,5.0
153,D#,G#,4,c#,"(0, 3, 6, 8)",V7,F#,B#,c#,19.125,5.0
154,D#,G#,4,c#,"(0, 3, 6, 8)",V7,F#,B#,c#,19.25,5.0
155,D#,G#,4,c#,"(0, 3, 6, 8)",V7,F#,B#,c#,19.375,5.0
156,D#,G#,4,c#,"(0, 3, 6, 8)",V7,F#,B#,c#,19.5,5.0
157,D#,G#,4,c#,"(0, 3, 6, 8)",V7,F#,B#,c#,19.625,5.0
158,D#,G#,4,c#,"(0, 3, 6, 8)",V7,F#,B#,c#,19.75,5.0
159,D#,G#,4,c#,"(0, 3, 6, 8)",V7,F#,B#,c#,19.875,5.0
160,G#,C#,0,c#,"(1, 4, 8)",i,C#,E,c#,20.0,6.0
161,G#,C#,1,c#,"(1, 4, 8)",i,C#,E,c#,20.125,6.0
162,G#,C#,2,c#,"(1, 4, 8)",i,C#,E,c#,20.25,6.0
163,G#,C#,2,c#,"(1, 4, 8)",i,C#,E,c#,20.375,6.0
164,G#,C#,3,c#,"(1, 4, 8)",i,C#,E,c#,20.5,6.0
165,G#,C#,3,c#,"(1, 4, 8)",i,C#,E,c#,20.625,6.0
166,G#,C#,3,c#,"(1, 4, 8)",i,C#,E,c#,20.75,6.0
167,G#,C#,3,c#,"(1, 4, 8)",i,C#,E,c#,20.875,6.0
168,G#,C#,4,c#,"(1, 4, 8)",vi,C#,E,c#,21.0,6.0
169,G#,C#,4,c#,"(1, 4, 8)",i,C#,E,c#,21.125,6.0
170,G#,C#,4,c#,"(1, 4, 8)",i,C#,E,c#,21.25,6.0
171,G#,C#,4,c#,"(1, 4, 8)",i,C#,E,c#,21.375,6.0
172,G#,C#,4,c#,"(1, 4, 8)",i,C#,E,c#,21.5,6.0
173,G#,C#,4,c#,"(1, 4, 8)",i,C#,E,c#,21.625,6.0
174,G#,C#,4,c#,"(1, 4, 8)",i,C#,E,c#,21.75,6.0
175,G#,C#,4,c#,"(1, 4, 8)",i,C#,E,c#,21.875,6.0
176,D#,G#,0,c#,"(0, 3, 6, 8)",V7,F#,B#,c#,22.0,6.0
177,D#,G#,1,c#,"(0, 3, 6, 8)",V7,F#,B#,c#,22.125,6.0
178,D#,G#,2,c#,"(0, 3, 6, 8)",V7,F#,B#,c#,22.25,6.0
179,D#,G#,2,c#,"(0, 3, 6, 8)",V7,F#,B#,c#,22.375,6.0
180,D#,G#,3,c#,"(0, 3, 6, 8)",V7,F#,B#,c#,22.5,6.0
181,D#,G#,3,c#,"(0, 3, 6, 8)",V7,F#,B#,c#,22.625,6.0
182,D#,G#,3,c#,"(0, 3, 6, 8)",V7,F#,B#,c#,22.75,6.0
183,D#,G#,3,c#,"(0, 3, 6, 8)",V7,F#,B#,c#,22.875,6.0
184,D#,G#,4,c#,"(0, 3, 6, 8)",V7,F#,B#,c#,23.0,6.0
185,D#,G#,4,c#,"(0, 3, 6, 8)",V7,F#,B#,c#,23.125,6.0
186,D#,G#,4,c#,"(0, 3, 6, 8)",V7,F#,B#,c#,23.25,6.0
187,D#,G#,4,c#,"(0, 3, 6, 8)",V7,F#,B#,c#,23.375,6.0
188,D#,G#,4,c#,"(0, 3, 6, 8)",V7,F#,B#,c#,23.5,6.0
189,D#,G#,4,c#,"(0, 3, 6, 8)",V7,F#,B#,c#,23.625,6.0
190,D#,G#,4,c#,"(0, 3, 6, 8)",V7,F#,B#,c#,23.75,6.0
191,D#,G#,4,c#,"(0, 3, 6, 8)",V7,F#,B#,c#,23.875,6.0
192,G#,C#,0,c#,"(1, 4, 8)",vi,C#,E,c#,24.0,7.0
193,G#,C#,1,c#,"(1, 4, 8)",vi,C#,E,c#,24.125,7.0
194,G#,C#,2,c#,"(1, 4, 8)",vi,C#,E,c#,24.25,7.0
195,G#,C#,2,c#,"(1, 4, 8)",vi,C#,E,c#,24.375,7.0
196,G#,C#,3,c#,"(1, 4, 8)",vi,C#,E,c#,24.5,7.0
197,G#,C#,3,c#,"(1, 4, 8)",vi,C#,E,c#,24.625,7.0
198,G#,C#,3,c#,"(1, 4, 8)",vi,C#,E,c#,24.75,7.0
199,G#,C#,3,c#,"(1, 4, 8)",vi,C#,E,c#,24.875,7.0
200,G#,C#,4,E,"(1, 4, 8)",ii7,C#,E,c#,25.0,7.0
201,G#,C#,4,E,"(1, 4, 8)",iiø7,C#,E,E,25.125,7.0
202,G#,C#,4,E,"(1, 4, 8)",iiø7,C#,E,E,25.25,7.0
203,G#,C#,4,E,"(1, 4, 8)",iiø7,C#,E,E,25.375,7.0
204,G#,C#,4,E,"(1, 4, 8)",iiø7,C#,E,c#,25.5,7.0
205,G#,C#,4,E,"(1, 4, 8)",iiø7,C#,E,c#,25.625,7.0
206,G#,C#,4,E,"(1, 4, 8)",iiø7,C#,E,c#,25.75,7.0
207,G#,C#,4,E,"(1, 4, 8)",iiø7,C#,E,c#,25.875,7.0
208,G#,C#,0,E,"(1, 4, 8)",vi,C#,E,E,26.0,7.0
209,G#,C#,1,E,"(1, 4, 8)",vi,C#,E,B,26.125,7.0
210,G#,C#,5,E,"(1, 4, 8)",vi,C#,E,B,26.25,7.0
211,G#,C#,5,E,"(1, 4, 8)",vi,C#,E,B,26.375,7.0
212,G#,C#,3,E,"(1, 4, 8)",vi,C#,E,B,26.5,7.0
213,G#,C#,3,E,"(1, 4, 8)",vi,C#,E,B,26.625,7.0
214,G#,C#,3,E,"(1, 4, 8)",vi,C#,E,B,26.75,7.0
215,G#,C#,3,E,"(1, 4, 8)",vi,C#,E,B,26.875,7.0
216,C#,C#,0,E,"(1, 4, 6, 10)",viiø7,A#,E,B,27.0,7.0
217,C#,C#,1,E,"(1, 4, 6, 10)",viiø7,A#,E,B,27.125,7.0
218,C#,C#,2,E,"(1, 4, 6, 10)",viiø7,A#,E,B,27.25,7.0
219,C#,C#,2,E,"(1, 4, 6, 10)",viiø7,A#,E,B,27.375,7.0
220,C#,C#,3,E,"(1, 4, 6, 10)",viiø7,A#,E,B,27.5,7.0
221,C#,C#,3,E,"(1, 4, 6, 10)",viiø7,A#,E,B,27.625,7.0
222,C#,C#,3,E,"(1, 4, 6, 10)",viiø7,A#,E,B,27.75,7.0
223,C#,C#,3,E,"(1, 4, 6, 10)",viiø7,A#,E,B,27.875,7.0
224,F#,B,0,B,"(3, 6, 11)",I,B,D#,E,28.0,8.0
225,F#,B,1,B,"(3, 6, 11)",I,B,D#,E,28.125,8.0
226,F#,B,2,B,"(3, 6, 11)",I,B,D#,E,28.25,8.0
227,F#,B,2,B,"(3, 6, 11)",I,B,D#,E,28.375,8.0
228,F#,B,3,B,"(3, 6, 11)",I,B,D#,E,28.5,8.0
229,F#,B,3,B,"(3, 6, 11)",I,B,D#,E,28.625,8.0
230,F#,B,3,B,"(3, 6, 11)",I,B,D#,E,28.75,8.0
231,F#,B,3,B,"(3, 6, 11)",I,B,D#,E,28.875,8.0
232,F#,B#,0,E,"(0, 3, 6, 9)",viio7,A,D#,c#,29.0,8.0
233,F#,B#,1,c#,"(0, 3, 6, 9)",viio7,A,D#,c#,29.125,8.0
234,F#,B#,4,c#,"(0, 3, 6, 9)",viio7,A,D#,c#,29.25,8.0
235,F#,B#,4,c#,"(0, 3, 6, 9)",viio7,A,D#,c#,29.375,8.0
236,F#,B#,3,c#,"(0, 3, 6, 9)",viio7,A,D#,c#,29.5,8.0
237,F#,B#,3,c#,"(0, 3, 6, 9)",viio7,A,D#,c#,29.625,8.0
238,F#,B#,3,c#,"(0, 3, 6, 9)",viio7,A,D#,c#,29.75,8.0
239,F#,B#,3,c#,"(0, 3, 6, 9)",viio7,A,D#,c#,29.875,8.0
240,G#,C#,0,c#,"(1, 4, 8)",vi,C#,E,c#,30.0,8.0
241,G#,C#,1,c#,"(1, 4, 8)",vi,C#,E,c#,30.125,8.0
242,G#,C#,2,c#,"(1, 4, 8)",vi,C#,E,c#,30.25,8.0
243,G#,C#,2,c#,"(1, 4, 8)",vi,C#,E,c#,30.375,8.0
244,G#,C#,3,c#,"(1, 4, 8)",vi,C#,E,c#,30.5,8.0
245,G#,C#,3,c#,"(1, 4, 8)",vi,C#,E,c#,30.625,8.0
246,G#,C#,3,c#,"(1, 4, 8)",vi,C#,E,c#,30.75,8.0
247,G#,C#,3,c#,"(1, 4, 8)",vi,C#,E,c#,30.875,8.0
248,C#,E,0,B,"(1, 4, 8)",viio7,C#,G,c#,31.0,8.0
249,C#,E,1,B,"(1, 4, 7)",viio7,C#,G,c#,31.125,8.0
250,C#,E,2,B,"(1, 4, 7)",viio7,C#,G,c#,31.25,8.0
251,C#,E,2,B,"(1, 4, 7)",viio7,C#,G,c#,31.375,8.0
252,C#,E,3,B,"(1, 4, 7)",viio7,C#,G,c#,31.5,8.0
253,C#,E,3,B,"(1, 4, 7)",viio7,C#,G,c#,31.625,8.0
254,C#,E,3,B,"(1, 4, 7)",viio7,C#,G,b,31.75,8.0
255,C#,E,3,B,"(1, 4, 7)",viio7,C#,G,b,31.875,8.0
256,D#,F#,0,B,"(3, 6, 11)",I,B,B,B,32.0,9.0
257,D#,F#,1,B,"(3, 6, 11)",I,B,B,B,32.125,9.0
258,D#,F#,2,B,"(3, 6, 11)",I,B,B,B,32.25,9.0
259,D#,F#,2,B,"(3, 6, 11)",I,B,B,B,32.375,9.0
260,D#,F#,3,B,"(3, 6, 11)",I,B,B,B,32.5,9.0
261,D#,F#,3,B,"(3, 6, 11)",I,B,B,B,32.625,9.0
262,D#,F#,3,B,"(3, 6, 11)",I,B,B,B,32.75,9.0
263,D#,F#,3,B,"(3, 6, 11)",I,B,B,B,32.875,9.0
264,D#,F#,4,B,"(3, 6, 11)",I,B,B,B,33.0,9.0
265,D#,F#,4,B,"(3, 6, 11)",I,B,B,B,33.125,9.0
266,D#,F#,4,B,"(3, 6, 11)",I,B,B,B,33.25,9.0
267,D#,F#,4,B,"(3, 6, 11)",I,B,B,B,33.375,9.0
268,D#,F#,4,B,"(3, 6, 11)",I,B,B,B,33.5,9.0
269,D#,F#,4,B,"(3, 6, 11)",I,B,B,B,33.625,9.0
270,D#,F#,4,B,"(3, 6, 11)",I,B,B,B,33.75,9.0
271,D#,F#,4,B,"(3, 6, 11)",I,B,B,B,33.875,9.0
272,B,F#,5,B,"(3, 6, 11)",V7,B,B,B,34.0,9.0
273,B,F#,5,B,"(3, 6, 11)",V7,B,B,B,34.125,9.0
274,B,F#,5,B,"(3, 6, 11)",V7,B,B,B,34.25,9.0
275,B,F#,5,B,"(3, 6, 11)",V7,B,B,B,34.375,9.0
276,B,F#,5,B,"(3, 6, 11)",V7,B,B,B,34.5,9.0
277,B,F#,5,B,"(3, 6, 11)",V7,B,B,B,34.625,9.0
278,B,F#,5,B,"(3, 6, 11)",V7,B,B,B,34.75,9.0
279,B,F#,5,B,"(3, 6, 11)",V7,B,B,B,34.875,9.0
