,Alto35,Bass35,HarmonicRhythm7,LocalKey38,PitchClassSet121,RomanNumeral31,Soprano35,Tenor35,TonicizedKey38,offset,measure
0,B-,E-,0,E-,"(3, 7, 10)",I,E-,G,E-,0.0,1.0
1,B-,E-,1,E-,"(3, 7, 10)",I,E-,G,E-,0.125,1.0
2,B-,E-,2,E-,"(3, 7, 10)",I,E-,G,E-,0.25,1.0
3,B-,E-,2,E-,"(3, 7, 10)",I,E-,G,E-,0.375,1.0
4,B-,E-,3,E-,"(3, 7, 10)",I,E-,G,E-,0.5,1.0
5,B-,E-,3,E-,"(3, 7, 10)",I,E-,G,E-,0.625,1.0
6,B-,E-,3,E-,"(3, 7, 10)",I,E-,G,E-,0.75,1.0
7,B-,E-,3,E-,"(3, 7, 10)",I,E-,G,E-,0.875,1.0
8,B-,E-,4,E-,"(3, 7, 10)",I,E-,G,E-,1.0,1.0
9,B-,E-,4,E-,"(3, 7, 10)",I,E-,G,E-,1.125,1.0
10,B-,E-,4,E-,"(3, 7, 10)",I,E-,G,E-,1.25,1.0
11,B-,E-,4,E-,"(3, 7, 10)",I,E-,G,E-,1.375,1.0
12,B-,E-,4,E-,"(3, 7, 10)",I,E-,G,E-,1.5,1.0
13,B-,E-,4,E-,"(3, 7, 10)",I,E-,G,E-,1.625,1.0
14,B-,E-,4,E-,"(3, 7, 10)",I,E-,G,E-,1.75,1.0
15,B-,E-,4,E-,"(3, 7, 10)",I,E-,G,E-,1.875,1.0
16,B-,E-,5,E-,"(3, 7, 10)",I,E-,G,E-,2.0,1.0
17,B-,E-,5,E-,"(3, 7, 10)",I,E-,G,E-,2.125,1.0
18,B-,E-,5,E-,"(3, 7, 10)",I,E-,G,E-,2.25,1.0
19,B-,E-,5,E-,"(3, 7, 10)",I,E-,G,E-,2.375,1.0
20,B-,E-,5,E-,"(3, 7, 10)",I,E-,G,E-,2.5,1.0
21,B-,E-,5,E-,"(3, 7, 10)",I,E-,G,E-,2.625,1.0
