,Alto35,Bass35,HarmonicRhythm7,LocalKey38,PitchClassSet121,RomanNumeral31,Soprano35,Tenor35,TonicizedKey38,offset,measure
0,E,A,0,A,"(1, 4, 9)",I,A,C#,A,0.0,1.0
1,E,A,1,A,"(1, 4, 9)",I,A,C#,A,0.125,1.0
2,E,A,2,A,"(1, 4, 9)",I,A,C#,A,0.25,1.0
3,E,A,2,A,"(1, 4, 9)",I,A,C#,A,0.375,1.0
4,E,A,3,A,"(1, 4, 9)",I,A,C#,A,0.5,1.0
5,E,A,3,A,"(1, 4, 9)",I,A,C#,A,0.625,1.0
6,E,A,3,A,"(1, 4, 9)",I,A,C#,A,0.75,1.0
7,E,A,3,A,"(1, 4, 9)",I,A,C#,A,0.875,1.0
8,E,A,4,A,"(1, 4, 9)",I,A,C#,A,1.0,1.0
9,E,A,4,A,"(1, 4, 9)",I,A,C#,A,1.125,1.0
10,E,A,4,A,"(1, 4, 9)",I,A,C#,A,1.25,1.0
11,E,A,4,A,"(1, 4, 9)",I,A,C#,A,1.375,1.0
12,E,A,4,A,"(1, 4, 9)",I,A,C#,A,1.5,1.0
13,E,A,4,A,"(1, 4, 9)",I,A,C#,A,1.625,1.0
14,E,A,4,A,"(1, 4, 9)",I,A,C#,A,1.75,1.0
15,E,A,4,A,"(1, 4, 9)",I,A,C#,A,1.875,1.0
16,E,A,5,A,"(1, 4, 9)",I,A,C#,A,2.0,1.0
17,E,A,5,A,"(1, 4, 9)",I,A,C#,A,2.125,1.0
18,E,A,5,A,"(1, 4, 9)",I,A,C#,A,2.25,1.0
19,E,A,5,A,"(1, 4, 9)",I,A,C#,A,2.375,1.0
20,E,A,5,A,"(1, 4, 9)",I,A,C#,A,2.5,1.0
21,E,A,5,A,"(1, 4, 9)",I,A,C#,A,2.625,1.0
22,E,A,5,A,"(1, 4, 9)",I,A,C#,A,2.75,1.0
23,E,A,5,A,"(1, 4, 9)",I,A,C#,A,2.875,1.0
24,E,A,0,A,"(1, 4, 9)",I,A,C#,A,3.0,2.0
25,E,A,1,A,"(1, 4, 9)",I,A,C#,A,3.125,2.0
26,E,A,2,A,"(1, 4, 9)",I,A,C#,A,3.25,2.0
27,E,A,2,A,"(1, 4, 9)",I,A,C#,A,3.375,2.0
28,E,A,3,A,"(1, 4, 9)",I,A,C#,A,3.5,2.0
29,E,A,3,A,"(1, 4, 9)",I,A,C#,A,3.625,2.0
30,E,A,3,A,"(1, 4, 9)",I,A,C#,A,3.75,2.0
31,E,A,3,A,"(1, 4, 9)",I,A,C#,A,3.875,2.0
32,E,A,4,A,"(1, 4, 9)",I,A,C#,A,4.0,2.0
33,E,A,4,A,"(1, 4, 9)",I,A,C#,A,4.125,2.0
34,E,A,4,A,"(1, 4, 9)",I,A,C#,A,4.25,2.0
